Result: Draw by threefold repetition

1: a2a3
2: b4c3
3: d2c3
4: a7a6
5: b5c6
6: d7c6
7: d1d8
8: e8d8
9: f3e5
10: c8e6
11: c1g5
12: h7h6
13: g5f6
14: g7f6
15: e5f3
16: h8g8
17: e1c1
18: d8e7
19: g2g3
20: e6g4
21: d1d3
22: a8d8
23: h1d1
24: g4f3
25: d3f3
26: d8d1
27: c1d1
28: e7e6
29: f3f5
30: g8g5
31: f5f4
32: g5h5
33: h2h4
34: f6f5
35: g3g4
36: f5g4
37: f4g4
38: f7f5
39: e4f5
40: h5f5
41: g4g6
42: e6f7
43: g6g2
44: f5f4
45: d1e2
46: f4h4
47: g2g1
48: h4e4
49: e2d3
50: e4e8
51: f2f4
52: f7f6
53: d3d4
54: f6f5
55: g1h1
56: e8e4
57: d4d3
58: e4e6
59: h1f1
60: e6d6
61: d3e3
62: d6e6
63: e3d3
64: e6d6
65: d3e3
66: c6c5
67: f1g1
68: d6e6
69: e3f3
70: e6e4
71: g1g7
72: e4f4
73: f3e3
74: f4e4
75: e3f3
76: e4f4
77: f3e3
78: f4e4
79: e3f3
