Result: Black wins by checkmate

1: d2d3
2: e4f6
3: b1c3
4: b8c6
5: f3g5
6: d8e7
7: c1e3
8: h7h6
9: g5e4
10: f6g4
11: d1f3
12: c6e5
13: f3f4
14: g4e3
15: f2e3
16: c8e6
17: d3d4
18: e5g6
19: f4f3
20: e8c8
21: d4d5
22: g6h4
23: f3f4
24: e6d7
25: g2g3
26: h4g6
27: f4f3
28: f7f5
29: f3h5
30: f5e4
31: h5g6
32: e7e5
33: e1c1
34: d7f5
35: g6f7
36: f8e7
37: f7h5
38: e7g5
39: d1e1
40: c8b8
41: g3g4
42: g5e3
43: e1e3
44: e5f4
45: h5f5
46: f4e3
47: c1d1
48: e3f3
49: f5f3
50: e4f3
51: f1b5
52: a7a6
53: b5d3
54: h6h5
55: h1g1
56: h5g4
57: g1g4
58: f3f2
59: g4g2
60: d8f8
61: g2g7
62: f2f1q
63: d3f1
64: f8f1
65: d1e2
66: f1h1
67: c3e4
68: h8h2
69: e2d3
70: h1c1
71: c2c4
72: h2h3
73: e4g3
74: c1g1
75: g7e7
76: g1g3
77: d3d4
78: g3d3
79: d4e4
80: d3e3
81: e4d4
82: e3e7
83: a2a3
84: h3e3
85: a3a4
86: e7e4
