Result: Black wins by checkmate

1: c3a4
2: c5b4
3: c2c3
4: b7b5
5: c4b5
6: c7c6
7: b5c4
8: b4a5
9: b2b4
10: c8g4
11: f2f3
12: d6d5
13: c4b3
14: g4c8
15: a4c5
16: a5b6
17: d1e2
18: b8d7
19: e4d5
20: c6d5
21: c5d7
22: c8d7
23: d3d4
24: e8g8
25: e2e5
26: f8e8
27: f3f4
28: b6c7
29: e5e2
30: d7b5
31: e2e3
32: f6g4
33: e3e8
34: d8e8
35: e1d2
36: e8e4
37: c3c4
38: e4d4
39: d2c2
40: d5c4
41: c2b1
42: c4b3
43: a2b3
44: d4e4
45: b1a2
46: e4g2
47: c1b2
48: a7a5
49: a2a3
50: g2d2
51: a3a2
52: a5b4
53: a2b1
54: b5d3
