Result: Black wins by checkmate

1: g1e2
2: b8c6
3: c1f4
4: g7g5
5: f4g3
6: c8f5
7: b1a3
8: c5d4
9: e2d4
10: a8d8
11: g3c7
12: d5e4
13: e1d2
14: d8d4
15: c3d4
16: e7e5
17: a3c2
18: f6d5
19: c7e5
20: c6e5
21: d4e5
22: f8c5
23: d2c1
24: e8g8
25: d1e2
26: e4f4
27: e2d2
28: f4d2
29: c1d2
30: f8d8
31: f1d3
32: d5f4
33: c2e1
34: f4d3
35: e1d3
36: f5d3
37: h1d1
38: d3b5
39: d2c3
40: d8c8
41: f2f3
42: c5e3
43: c3b3
44: e3f4
45: h2h4
46: g5h4
47: d1e1
48: b5d3
49: e5e6
50: d3c4
51: b3c3
52: h4h3
53: g2h3
54: c4d5
55: c3d3
56: d5e6
57: e1g1
58: g8f8
59: d3e4
60: c8c4
61: e4d3
62: f4e5
63: a1b1
64: c4d4
65: d3c3
66: d4d5
67: c3b4
68: d5d4
69: b4c5
70: e6d7
71: g1g8
72: f8g8
73: b1g1
74: g8f8
75: g1g6
76: f7g6
77: f3f4
78: b7b6
