Result: Black wins by checkmate

1: e4c5
2: b7b6
3: c5b3
4: d8d5
5: g1f3
6: d5e4
7: e1d2
8: e4f4
9: d2c3
10: f4d6
11: f1d3
12: e7e6
13: a2a3
14: g8f6
15: d3f5
16: e6f5
17: c3d2
18: f6e4
19: d2e1
20: d6e6
21: c1e3
22: f5f4
23: d4d5
24: e6g4
25: e3c1
26: g4g2
27: h1f1
28: f8e7
29: f3e5
30: b8d7
31: e5d7
32: e7h4
33: d5c6
34: h4f2
35: e1e2
36: f4f3
37: e2d3
38: g2g6
39: b3d4
40: e4d6
41: d3d2
42: d6e4
43: d2d3
44: e4d6
45: d3d2
46: f2d4
47: d1e1
48: d6e4
49: d2d3
50: f7f5
51: f1f3
52: g6d6
53: d3c4
54: b6b5
55: c4b5
56: d6d5
57: b5a4
58: d5c6
59: a4a5
60: e8d7
61: f3f5
62: e4d6
63: e1e2
64: d4c3
65: b2c3
66: d6c4
67: e2c4
68: c6c4
69: c1b2
70: c4c7
71: a5a4
72: c7c4
73: a4a5
74: c4c7
75: a5a4
76: c7h2
77: f5b5
78: h2c2
79: a4a5
80: a8b8
81: b5g5
82: c2b2
83: a1d1
84: d7c6
85: d1a1
86: b2b6
87: a5a4
88: b6a6
89: g5a5
90: a6c4
