Result: Draw by threefold repetition

1: b1c3
2: f6d5
3: f3e5
4: d5c3
5: b2c3
6: b8d7
7: d1a4
8: f8e7
9: a4b5
10: c7c6
11: e5c6
12: d8b6
13: b5b6
14: d7b6
15: c6e7
16: e8e7
17: c1a3
18: e7f6
19: f1e2
20: f6f5
21: e2h5
22: b6d5
23: e1d2
24: d5f6
25: h5f7
26: f6e4
27: d2e2
28: e4c3
29: e2d2
30: c3e4
31: d2e2
32: c8d7
33: a3e7
34: e4c3
35: e2d2
36: c3d5
37: e7d6
38: c4c3
39: d2c2
40: d7a4
41: c2d3
42: a4b5
43: d3c2
44: h8d8
45: e3e4
46: f5f6
47: d6e5
48: f6f7
49: e4d5
50: b5c4
51: d5d6
52: c4d5
53: f2f3
54: a8c8
55: h1e1
56: d5c6
57: a1b1
58: c6a4
59: c2d3
60: c3c2
61: b1b7
62: d8d7
63: b7c7
64: c8b8
65: e1c1
66: b8b2
67: c7d7
68: a4d7
69: c1c2
70: b2c2
71: d3c2
72: d7b5
73: h2h3
74: b5a4
75: c2c3
76: a4c6
77: c3b4
78: h7h6
79: b4c5
80: c6d7
81: g2g4
82: a7a6
83: d4d5
84: e6d5
85: c5d5
86: a6a5
87: e5c3
88: a5a4
89: a2a3
90: h6h5
91: c3d4
92: h5h4
93: f3f4
94: d7b5
95: d4f2
96: b5e2
97: f2h4
98: e2f3
99: d5e5
100: f3c6
101: f4f5
102: f7e8
103: f5f6
104: g7f6
105: h4f6
106: e8d7
107: h3h4
108: c6b5
109: e5d5
110: b5c6
111: d5e5
112: c6b5
113: e5d5
114: b5c6
