Result: Black wins by checkmate

1: g1h3
2: c8h3
3: c1f4
4: h3d7
5: d4d5
6: e7e5
7: f4g5
8: e8g8
9: d1b3
10: b7b6
11: e2e4
12: b8a6
13: f1d3
14: a6c5
15: b3c2
16: c5d3
17: c2d3
18: d8e8
19: e1g1
20: a7a6
21: a2a3
22: e8e7
23: d3c2
24: b6b5
25: c2d3
26: f8b8
27: f1f2
28: b8b7
29: g5e3
30: c7c5
31: f2c2
32: b5b4
33: c3e2
34: a8b8
35: a3a4
36: b4b3
37: c2c3
38: e7e8
39: a4a5
40: b7b4
41: e2c1
42: b8b7
43: g1h1
44: e8b8
45: a1a3
46: d7a4
47: f3f4
48: e5f4
49: e3f4
50: b8e8
51: e4e5
52: f6g4
53: d3g3
54: g4e5
55: c1d3
56: e5d3
57: a3a4
58: b4a4
59: f4g5
60: a4a1
61: c3c1
62: d3c1
63: h2h3
64: c1e2
65: h1h2
66: e2g3
67: h2g3
68: e8e1
69: g3g4
70: f7f5
71: g4f3
72: g7d4
73: g5f4
74: e1f2
