Result: Black wins by checkmate

1: d1b3
2: d5b6
3: g1f3
4: c8e6
5: b3b4
6: b8c6
7: b4b5
8: d8d6
9: c3e4
10: d6b4
11: b5b4
12: c6b4
13: e1d1
14: e6a2
15: e4c5
16: a7a5
17: c1f4
18: e8c8
19: e2e3
20: e7e6
21: a1c1
22: f8c5
23: c1c5
24: a2b3
25: d1e1
26: b4c2
27: e1d2
28: b6d5
29: f4g5
30: f7f6
31: g5h6
32: c2b4
33: e3e4
34: b7b6
35: c5c1
36: e6e5
37: d4e5
38: d5f4
39: d2e3
40: f4e6
41: f1b5
42: f6e5
43: c1c3
44: b4c2
45: e3e2
46: c2d4
47: e2f1
48: e6c5
49: b5a6
50: c5a6
51: f3d4
52: d8d4
53: f1e2
54: a6c5
55: c3c5
56: b6c5
57: h1a1
58: d4e4
59: e2d3
60: e4d4
61: d3c3
62: a5a4
63: a1e1
64: h8d8
65: e1e5
66: d4c4
