Result: White wins by checkmate

1: b1c3
2: f8c5
3: e1g1
4: e8g8
5: d2d3
6: d7d5
7: a4c6
8: b7c6
9: e4d5
10: c6d5
11: f1e1
12: e5e4
13: d3e4
14: d5e4
15: d1d8
16: f8d8
17: f3g5
18: a8b8
19: b2b3
20: c5b4
21: c1b2
22: d8d2
23: a1c1
24: e4e3
25: e1e3
26: c8f5
27: a2a3
28: b4c5
29: e3e2
30: d2e2
31: c3e2
32: f5g4
33: b2f6
34: g4e2
35: b3b4
36: c5b6
37: c1e1
38: b8e8
39: f6c3
40: c7c5
41: g5f3
42: b6c7
43: b4c5
44: e2b5
45: e1e8
46: b5e8
47: c3e5
48: c7e5
49: f3e5
50: f7f6
51: e5f3
52: e8c6
53: f3d4
54: c6e4
55: c5c6
56: g8f7
57: c6c7
58: e4b7
59: d4f5
60: f7e6
61: f5g7
62: e6d7
63: f2f3
64: h7h6
65: g7h5
66: f6f5
67: h5g7
68: f5f4
69: g1f2
70: d7c7
71: g7h5
72: c7d6
73: h5f4
74: b7c6
75: f2e3
76: c6d7
77: e3d4
78: a6a5
79: c2c4
80: a5a4
81: h2h4
82: d7c8
83: h4h5
84: c8f5
85: c4c5
86: d6c6
87: f4g6
88: f5e6
89: g6e5
90: c6c7
91: f3f4
92: e6c8
93: d4d5
94: c8b7
95: c5c6
96: b7a6
97: f4f5
98: a6f1
99: g2g4
100: f1g2
101: d5c5
102: g2h1
103: f5f6
104: h1c6
105: f6f7
106: c6a8
107: f7f8q
108: a8e4
109: f8h6
110: e4c2
111: h6d2
112: c2e4
113: h5h6
114: c7b8
115: e5c6
116: e4c6
117: d2d6
118: b8c8
119: c5b6
120: c6e4
121: d6c7
