Result: Draw by threefold repetition

1: d4b3
2: c5b4
3: c2c3
4: b4d6
5: d1d3
6: d8f6
7: d3f3
8: f6f3
9: g2f3
10: b7b6
11: f1c4
12: c8b7
13: c1e3
14: c6e5
15: b1d2
16: g8f6
17: e1e2
18: e5c4
19: d2c4
20: b7a6
21: e2d3
22: e8g8
23: d3d4
24: c7c5
25: d4d3
26: a6c4
27: d3c4
28: a7a6
29: c4d3
30: f8c8
31: a1d1
32: c5c4
33: d3e2
34: c4b3
35: d1d6
36: b3a2
37: h1a1
38: c8c6
39: d6d1
40: c6e6
41: a1a2
42: d7d5
43: e4d5
44: e6d6
45: c3c4
46: b6b5
47: e3c5
48: d6d7
49: b2b3
50: a8c8
51: c5d4
52: b5c4
53: b3c4
54: d7e7
55: e2d3
56: e7c7
57: d1c1
58: f6d5
59: a2a4
60: c8d8
61: c4c5
62: d5f4
63: d3e4
64: f4e2
65: c1c4
66: c7e7
67: d4e5
68: f7f6
69: f3f4
70: d8e8
71: e4f3
72: e2g1
73: f3g2
74: f6e5
75: g2g1
76: e5f4
77: a4a6
78: f4f3
79: h2h3
80: e7e1
81: g1h2
82: e1e4
83: c4e4
84: e8e4
85: h2g3
86: e4c4
87: c5c6
88: c4c3
89: a6a8
90: g8f7
91: a8a7
92: f7f6
93: c6c7
94: f6e6
95: c7c8q
96: c3c8
97: a7g7
98: h7h6
99: g3f3
100: c8c3
101: f3e4
102: c3h3
103: f2f4
104: e6f6
105: g7h7
106: h3h2
107: e4e3
108: f6f5
109: h7f7
110: f5e6
111: f7b7
112: h2a2
113: b7b6
114: e6f5
115: b6b5
116: f5e6
117: b5b6
118: e6f5
119: b6b5
120: f5e6
