Result: Black wins by checkmate

1: b1c3
2: b8c6
3: f1c4
4: d8b6
5: c4f7
6: e8f7
7: d4f3
8: f7g8
9: e1g1
10: b6a6
11: d1d3
12: a6d3
13: c2d3
14: b7b6
15: c3b5
16: c8a6
17: b5c7
18: a6d3
19: c7a8
20: d3f1
21: f3g5
22: h7h6
23: g5f3
24: f1d3
25: c1f4
26: e7e5
27: f4e3
28: f8e7
29: a1d1
30: d3e4
31: a8b6
32: a7b6
33: a2a3
34: f6d5
35: d1c1
36: d5e3
37: f3d2
38: c6d4
39: f2e3
40: d4e2
41: g1f2
42: e2c1
43: d2e4
44: c1d3
45: f2e2
46: d3b2
47: e4g3
48: g8f7
49: g3f5
50: h8a8
51: h2h3
52: b6b5
53: f5e7
54: f7e7
55: e2f3
56: a8a3
57: f3e2
58: e5e4
59: h3h4
60: b2c4
61: e2f2
62: c4e3
63: h4h5
64: e3g4
65: f2e1
66: a3a2
67: e1f1
68: g4e3
69: f1e1
70: e3g2
71: e1d1
72: g2f4
73: d1c1
74: b5b4
75: c1b1
76: b4b3
77: b1c1
78: a2c2
79: c1d1
80: e4e3
81: d1e1
82: c2c1
