Result: Draw by threefold repetition

1: d1f3
2: f5e4
3: f3e4
4: e7e6
5: e4d3
6: f8b4
7: c1d2
8: b4d2
9: e1d2
10: d8g5
11: d3e3
12: g5a5
13: e3c3
14: a5c3
15: d2c3
16: g8f6
17: f1d3
18: f6d5
19: c3b3
20: d5f4
21: g1f3
22: f4d3
23: c2d3
24: e8e7
25: h1e1
26: b8d7
27: a1c1
28: h7h5
29: c1c4
30: d7f6
31: f3e5
32: a7a5
33: b3c3
34: f6d5
35: c3d2
36: h5h4
37: h2h3
38: d5f4
39: d4d5
40: f4g2
41: d5d6
42: e7d6
43: e5f7
44: d6d7
45: f7h8
46: g2e1
47: h8g6
48: e1f3
49: d2e3
50: f3h2
51: c4d4
52: d7c7
53: d4h4
54: c7d6
55: h4d4
56: d6c7
57: g6e5
58: a8d8
59: d4d8
60: c7d8
61: e3e4
62: d8e7
63: a2a4
64: e7d6
65: e5c4
66: d6d7
67: c4a5
68: d7c7
69: a5c4
70: h2f1
71: e4e5
72: b7b5
73: a4b5
74: c6b5
75: c4d6
76: c7d7
77: d6b5
78: f1d2
79: b5d4
80: g7g6
81: h3h4
82: d7c8
83: d4e6
84: d2f3
85: e5e4
86: f3h4
87: d3d4
88: h4f5
89: e6f4
90: f5d6
91: e4d5
92: g6g5
93: f4e6
94: d6f7
95: b2b4
96: c8d7
97: b4b5
98: g5g4
99: b5b6
100: d7c8
101: e6c5
102: c8b8
103: d5c6
104: f7d8
105: c6d6
106: d8b7
107: d6e5
108: b7a5
109: e5e6
110: a5c4
111: b6b7
112: c4a5
113: e6e5
114: b8c7
115: d4d5
116: a5b7
117: c5e6
118: c7d7
119: e6f8
120: d7e7
121: f8g6
122: e7d7
123: g6f8
124: d7e7
125: f8g6
126: e7d7
