Result: Draw by threefold repetition

1: h2h3
2: e8g8
3: c1e3
4: e7e5
5: e1f1
6: d6d5
7: e4d5
8: b7b5
9: c4b3
10: b5b4
11: d4e5
12: b4c3
13: e5f6
14: d8f6
15: b2c3
16: f6a6
17: g1e2
18: g7c3
19: a1b1
20: c3f6
21: d5d6
22: b8c6
23: d6d7
24: f8d8
25: b3f7
26: g8f7
27: d1d5
28: f7g7
29: d7c8q
30: d8c8
31: d5d7
32: c6e7
33: e3d4
34: f6d4
35: d7d4
36: g7g8
37: b1b4
38: c7c5
39: d4c4
40: a6c4
41: b4c4
42: a8b8
43: e2c3
44: b8b2
45: g2g4
46: g8f7
47: f1g2
48: b2b4
49: c4e4
50: e7d5
51: e4b4
52: d5b4
53: h1d1
54: f7e6
55: d1d2
56: b4c6
57: d2e2
58: e6d7
59: e2d2
60: d7e6
61: d2e2
62: e6d7
63: c3b5
64: c8b8
65: e2d2
66: d7e6
67: d2d6
68: e6e7
69: d6c6
70: b8b5
71: c6c7
72: e7e6
73: c7h7
74: b5a5
75: h7g7
76: e6f6
77: g7b7
78: a5a2
79: c2c3
80: a2a3
81: c3c4
82: a7a6
83: b7b6
84: f6g5
85: b6c6
86: a3a2
87: g2f3
88: a2a3
89: f3e4
90: a3h3
91: f2f3
92: h3h1
93: c6c5
94: g5h4
95: c5a5
96: h4g3
97: a5a6
98: h1e1
99: e4d5
100: e1d1
101: d5e4
102: d1e1
103: e4d5
104: e1d1
105: d5e5
106: d1e1
