Result: White wins by checkmate

1: f3d4
2: e7e5
3: d4c6
4: d7c6
5: d1d8
6: e8d8
7: c1g5
8: d8c7
9: g5f6
10: g7f6
11: a1d1
12: c8e6
13: e2e4
14: f8c5
15: f1e2
16: h8g8
17: e1g1
18: c5d4
19: d1c1
20: f6f5
21: e4f5
22: e6f5
23: g1h1
24: a8d8
25: e2h5
26: f5d3
27: f1e1
28: f7f6
29: h1g1
30: d3f5
31: h5f3
32: f5e6
33: f3d5
34: c7d7
35: c1d1
36: d7e7
37: d1d4
38: c6d5
39: c3d5
40: e7f7
41: d4h4
42: e6d5
43: c4d5
44: d8d5
45: e1c1
46: g8d8
47: c1c7
48: f7e6
49: g1f1
50: d5d1
51: f1e2
52: d1d2
53: e2e1
54: d2d1
55: e1e2
56: d1d2
57: e2e1
58: d2b2
59: h4h7
60: d8d2
61: c7b7
62: d2e2
63: e1d1
64: b2d2
65: d1c1
66: e2f2
67: g2g4
68: d2c2
69: c1b1
70: f2h2
71: b7e7
72: e6d5
73: e7d7
74: d5e4
75: h7h2
76: c2h2
77: d7a7
78: e4d5
79: a7d7
80: d5e6
81: d7b7
82: e5e4
83: b7b2
84: h2b2
85: b1b2
86: e4e3
87: b2c3
88: e6e5
89: c3d3
90: e5f4
91: d3e2
92: f4e4
93: a2a4
94: e4d4
95: a4a5
96: d4e4
97: a5a6
98: e4f4
99: a6a7
100: f6f5
101: g4f5
102: f4f5
103: a7a8q
104: f5e5
105: e2e3
106: e5d6
107: e3e4
108: d6e6
109: a8d8
110: e6f7
111: d8g5
112: f7f8
113: e4e5
114: f8e8
115: e5e6
116: e8f8
117: g5g4
118: f8e8
119: g4g8
