Result: Draw by threefold repetition

1: e2e3
2: b8a6
3: b2f6
4: e7f6
5: b1c3
6: a6b4
7: f3d4
8: b4d3
9: f1d3
10: f5d3
11: d1f3
12: d5c4
13: h2h4
14: c4b3
15: a2b3
16: d8d7
17: g2g4
18: f8c5
19: d4f5
20: d3f5
21: f3f5
22: d7f5
23: g4f5
24: c5b6
25: h1g1
26: e8g8
27: a1a4
28: h7h5
29: c3e4
30: g8h8
31: e1e2
32: a8d8
33: d2d4
34: d8d5
35: e4c5
36: f8e8
37: c5b7
38: e8e7
39: b7c5
40: e7e8
41: f2f4
42: a7a5
43: e2f3
44: b6c5
45: d4c5
46: d5d3
47: a4e4
48: e8b8
49: g1a1
50: b8b5
51: b3b4
52: d3b3
53: a1a5
54: b3b4
55: a5a8
56: h8h7
57: e4b4
58: b5b4
59: a8a7
60: h7g8
61: a7a8
62: g8h7
63: a8a7
64: h7g8
65: e3e4
66: b4b3
67: f3e2
68: b3c3
69: a7a8
70: g8h7
71: a8a7
72: c3c5
73: a7f7
74: c5c2
75: e2d3
76: c2f2
77: d3e3
78: f2b2
79: f7c7
80: b2b3
81: e3d4
82: b3b4
83: d4d3
84: b4b3
85: d3d4
86: b3b4
87: d4e3
88: b4b3
