Result: Black wins by checkmate

1: d4c6
2: d7c6
3: d1d8
4: e8d8
5: c1g5
6: g8f6
7: b1c3
8: c5d6
9: g5f6
10: g7f6
11: g2g3
12: c8e6
13: f1e2
14: f6f5
15: a2a3
16: h8g8
17: e1c1
18: f5e4
19: c3e4
20: d8e7
21: h1e1
22: a7a6
23: e4d6
24: c7d6
25: e2f3
26: g8g5
27: e1e3
28: g5e5
29: d1e1
30: e5e3
31: e1e3
32: e7f6
33: c1d2
34: a8g8
35: d2d3
36: e6f5
37: d3d2
38: f5e6
39: e3e1
40: g8e8
41: d2c3
42: e8g8
43: f3e4
44: h7h5
45: b2b3
46: h5h4
47: g3h4
48: g8h8
49: e1g1
50: h8h4
51: e4d3
52: h4h2
53: c3d4
54: c6c5
55: d4e4
56: d6d5
57: e4e3
58: h2h3
59: g1g3
60: h3g3
61: f2g3
62: e6f5
63: d3f5
64: f6f5
65: b3b4
66: b7b6
67: e3d3
68: f5e5
69: g3g4
70: c5c4
71: d3c3
72: b6b5
73: c3d2
74: d5d4
75: d2e2
76: d4d3
77: c2d3
78: c4c3
79: e2d1
80: e5d4
81: d1c2
82: f7f6
83: c2d1
84: d4d3
85: d1c1
86: c3c2
87: a3a4
88: b5a4
89: g4g5
90: f6g5
91: b4b5
92: a6b5
93: c1b2
94: a4a3
95: b2c1
96: a3a2
97: c1b2
98: c2c1q
99: b2a2
100: b5b4
101: a2b3
102: c1a3
