Result: Draw by threefold repetition

1: a2a3
2: b8c6
3: c1e3
4: a7a6
5: h2h4
6: h7h6
7: g1f3
8: f8e7
9: f1d3
10: e8f8
11: e1f1
12: h8g8
13: h4h5
14: d7b6
15: d1e2
16: c8d7
17: e3f4
18: d8e8
19: f1g1
20: g8h8
21: h1h3
22: f7f5
23: e5f6
24: e7f6
25: f4c7
26: b6a4
27: c7d6
28: f8g8
29: d3g6
30: a4c3
31: b2c3
32: e8d8
33: g6d3
34: e6e5
35: d4e5
36: d7h3
37: g2h3
38: f6e7
39: c3c4
40: d8a5
41: c4d5
42: c6b4
43: d6e7
44: b4d5
45: e2e4
46: a8c8
47: e7d6
48: d5c3
49: d3c4
50: c8c4
51: e4c4
52: a5d5
53: c4c3
54: g8f7
55: a1b1
56: b7b5
57: c3c7
58: f7g8
59: c7c8
60: g8h7
61: c8f5
62: h7g8
63: f5f8
64: g8h7
65: f8f5
66: h7g8
67: f5f8
68: g8h7
