Result: White wins by checkmate

1: e2e4
2: e8g8
3: d4d5
4: e7e5
5: c1e3
6: b8a6
7: g2g4
8: f6g4
9: f3g4
10: d8h4
11: e3f2
12: h4h6
13: g4g5
14: h6h5
15: f1e2
16: c8g4
17: e2g4
18: h5g4
19: d1g4
20: f7f5
21: g5f6
22: g7f6
23: f2e3
24: a6c5
25: e1c1
26: a7a5
27: e3c5
28: d6c5
29: g1f3
30: a8e8
31: g4h3
32: h7h5
33: h1g1
34: g8h7
35: h3g3
36: f8g8
37: d5d6
38: h5h4
39: g3g4
40: c7d6
41: d1d6
42: e8f8
43: d6d7
44: h7h8
45: f3h4
46: f6g5
47: g4g5
48: f8f1
49: g1f1
50: g8c8
51: g5e5
52: h8g8
53: e5g7
