Result: White wins by checkmate

1: a4c6
2: d7c6
3: d2d3
4: f8b4
5: c2c3
6: b4d6
7: d3d4
8: e5d4
9: e4e5
10: d4c3
11: e5f6
12: c3b2
13: c1b2
14: g7f6
15: e1g1
16: c8e6
17: b1d2
18: h8g8
19: d2e4
20: d6e7
21: d1c2
22: e8f8
23: a1d1
24: d8c8
25: b2f6
26: e7f6
27: e4f6
28: g8g6
29: f6h7
30: f8g8
31: h7g5
32: e6d5
33: h2h4
34: d5f3
35: g2f3
36: g8h8
37: f1e1
38: h8g7
39: c2b3
40: g6f6
41: e1e7
42: g7g6
43: e7f7
44: g6h5
45: f7f6
46: h5h4
47: b3c4
48: h4h5
49: c4f7
50: h5h4
51: f6h6
52: h4g5
53: f7f6
