Result: Draw by threefold repetition

1: d2d3
2: e4f6
3: f1e2
4: d6d5
5: e1g1
6: b8c6
7: c1f4
8: f8d6
9: d1c1
10: d6f4
11: c1f4
12: e8g8
13: b1c3
14: f8e8
15: f1e1
16: h7h6
17: c3b5
18: e8e7
19: e2f1
20: c8e6
21: f4a4
22: a7a6
23: b5d4
24: e6d7
25: d4c6
26: d7c6
27: a4f4
28: e7e1
29: a1e1
30: g7g5
31: f4e3
32: d8d6
33: e3e5
34: d6e5
35: f3e5
36: a8e8
37: d3d4
38: f6g4
39: f1d3
40: c6d7
41: c2c3
42: g8g7
43: h2h3
44: g4e5
45: e1e5
46: e8e5
47: d4e5
48: f7f6
49: f2f4
50: g5f4
51: e5e6
52: d7e6
53: g1f2
54: c7c5
55: f2f3
56: d5d4
57: c3d4
58: c5d4
59: f3f4
60: f6f5
61: f4e5
62: e6a2
63: d3f5
64: a2c4
65: e5d4
66: g7f6
67: f5c8
68: b7b5
69: c8a6
70: f6f5
71: a6b7
72: c4e6
73: g2g4
74: f5f4
75: b7c6
76: f4g3
77: c6e4
78: e6c4
79: e4f5
80: g3h4
81: d4e5
82: h4g3
83: e5d4
84: g3h4
85: d4e5
86: h4g3
