Result: White wins by checkmate

1: f1c4
2: d8a5
3: b1c3
4: a5c5
5: d1d3
6: f7f5
7: c1e3
8: g8f6
9: e4e5
10: f5f4
11: e3f4
12: f6h5
13: f4e3
14: c5b4
15: a2a3
16: b4a5
17: b2b4
18: a5e5
19: c3d5
20: c8f5
21: d3c3
22: h5f4
23: d5f4
24: a7a5
25: f4d5
26: e8d8
27: e1g1
28: b8c6
29: b4b5
30: c6d4
31: e3d4
32: f8g7
33: d4e5
34: g7e5
35: c3e3
36: a8c8
37: e3b6
38: d8e8
39: b6b7
40: e5f6
41: d5f6
42: e8d8
43: b7b6
44: c8c7
45: f6d5
46: d8e8
47: b6c7
48: f5d7
49: c7b8
50: e8f7
51: b8h8
52: d7f5
53: h8h7
54: f7f8
55: h7e7
56: f8g8
57: d5f6
58: g8h8
59: e7f8
