"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"mcts_trad_1s_vs_mcts_trad_20s","1","MCTS_TRAD","MCTS_TRAD","False","0","1/2-1/2","draw_3fold_claim","683,03","0"
"mcts_trad_1s_vs_mcts_trad_20s","2","MCTS_TRAD","MCTS_TRAD","False","1","1/2-1/2","draw_3fold_claim","3189,43","0"
"mcts_trad_1s_vs_mcts_trad_20s","3","MCTS_TRAD","MCTS_TRAD","False","2","0-1","checkmate","1231,93","0"
"mcts_trad_1s_vs_mcts_trad_20s","4","MCTS_TRAD","MCTS_TRAD","False","3","0-1","checkmate","509,12","0"
"mcts_trad_1s_vs_mcts_trad_20s","5","MCTS_TRAD","MCTS_TRAD","False","4","0-1","checkmate","641,45","0"
"mcts_trad_1s_vs_mcts_trad_20s","6","MCTS_TRAD","MCTS_TRAD","False","5","1/2-1/2","draw_3fold_claim","595,91","0"
"mcts_trad_1s_vs_mcts_trad_20s","7","MCTS_TRAD","MCTS_TRAD","False","6","1/2-1/2","draw_insufficient","1039,5","0"
"mcts_trad_1s_vs_mcts_trad_20s","8","MCTS_TRAD","MCTS_TRAD","False","7","1/2-1/2","draw_3fold_claim","870,11","0"
"mcts_trad_1s_vs_mcts_trad_20s","9","MCTS_TRAD","MCTS_TRAD","False","8","0-1","checkmate","468,51","0"
"mcts_trad_1s_vs_mcts_trad_20s","10","MCTS_TRAD","MCTS_TRAD","False","9","0-1","checkmate","870,57","0"
"mcts_trad_1s_vs_mcts_trad_20s","11","MCTS_TRAD","MCTS_TRAD","False","10","0-1","checkmate","641,83","0"
"mcts_trad_1s_vs_mcts_trad_20s","12","MCTS_TRAD","MCTS_TRAD","False","11","1/2-1/2","stalemate","1079,92","0"
"mcts_trad_1s_vs_mcts_trad_20s","13","MCTS_TRAD","MCTS_TRAD","False","12","0-1","checkmate","606,48","0"
"mcts_trad_1s_vs_mcts_trad_20s","14","MCTS_TRAD","MCTS_TRAD","False","13","0-1","checkmate","532,63","0"
"mcts_trad_1s_vs_mcts_trad_20s","15","MCTS_TRAD","MCTS_TRAD","False","14","1/2-1/2","draw_3fold_claim","765,5","0"
"mcts_trad_1s_vs_mcts_trad_20s","16","MCTS_TRAD","MCTS_TRAD","True","15","0-1","checkmate","768,29","0"
"mcts_trad_1s_vs_mcts_trad_20s","17","MCTS_TRAD","MCTS_TRAD","True","16","1/2-1/2","draw_insufficient","991,67","0"
"mcts_trad_1s_vs_mcts_trad_20s","18","MCTS_TRAD","MCTS_TRAD","True","17","1/2-1/2","draw_3fold_claim","361,01","0"
"mcts_trad_1s_vs_mcts_trad_20s","19","MCTS_TRAD","MCTS_TRAD","True","18","1/2-1/2","draw_insufficient","952,32","0"
"mcts_trad_1s_vs_mcts_trad_20s","20","MCTS_TRAD","MCTS_TRAD","True","19","1/2-1/2","draw_3fold_claim","806,69","0"
"mcts_trad_1s_vs_mcts_trad_20s","21","MCTS_TRAD","MCTS_TRAD","True","20","1/2-1/2","draw_3fold_claim","873,01","0"
"mcts_trad_1s_vs_mcts_trad_20s","22","MCTS_TRAD","MCTS_TRAD","True","21","0-1","checkmate","684,9","0"
"mcts_trad_1s_vs_mcts_trad_20s","23","MCTS_TRAD","MCTS_TRAD","True","22","0-1","checkmate","403,55","0"
"mcts_trad_1s_vs_mcts_trad_20s","24","MCTS_TRAD","MCTS_TRAD","True","23","0-1","checkmate","449,91","0"
"mcts_trad_1s_vs_mcts_trad_20s","25","MCTS_TRAD","MCTS_TRAD","True","24","1/2-1/2","draw_3fold_claim","3336,35","0"
"mcts_trad_1s_vs_mcts_trad_20s","26","MCTS_TRAD","MCTS_TRAD","True","0","0-1","checkmate","772,26","0"
"mcts_trad_1s_vs_mcts_trad_20s","27","MCTS_TRAD","MCTS_TRAD","True","1","0-1","checkmate","969,37","0"
"mcts_trad_1s_vs_mcts_trad_20s","28","MCTS_TRAD","MCTS_TRAD","True","2","1/2-1/2","draw_3fold_claim","722,46","0"
"mcts_trad_1s_vs_mcts_trad_20s","29","MCTS_TRAD","MCTS_TRAD","True","3","0-1","checkmate","700,82","0"
"mcts_trad_1s_vs_mcts_trad_20s","30","MCTS_TRAD","MCTS_TRAD","True","4","0-1","checkmate","700,63","0"
