label,side,eval_mean,eval_std,eval_median,time_s_mean,time_s_std,time_s_median,phase_mean,phase_std,phase_median,iterations_mean,iterations_std,iterations_median,nodes_created_mean,nodes_created_std,nodes_created_median,max_depth_mean,max_depth_std,max_depth_median,eval_calls_mean,eval_calls_std,eval_calls_median,eval_cache_hits_mean,eval_cache_hits_std,eval_cache_hits_median,skipped_terminals_mean,skipped_terminals_std,skipped_terminals_median,reused_visits_mean,reused_visits_std,reused_visits_median,root_children_count_mean,root_children_count_std,root_children_count_median,best_child_visits_mean,best_child_visits_std,best_child_visits_median,root_visit_entropy_mean,root_visit_entropy_std,root_visit_entropy_median,convergence_point_mean,convergence_point_std,convergence_point_median,avg_backprop_depth_mean,avg_backprop_depth_std,avg_backprop_depth_median,c_puct_mean,c_puct_std,c_puct_median,throughput_iter_per_s_mean,throughput_iter_per_s_std,throughput_iter_per_s_median,throughput_eval_per_s_mean,throughput_eval_per_s_std,throughput_eval_per_s_median,eval_cache_hit_rate_mean,eval_cache_hit_rate_std,eval_cache_hit_rate_median
mcts_nn_10s_vs_mcts_nn_20s,BLACK,0.5476850454756602,0.2997934232370136,0.5986930722487376,23.879982142857145,4.698467433376976,22.381149999999998,0.37348024316109424,0.3759893071682002,0.2553191489361702,897205.6577380953,2942777.482838085,384.0,725.5755952380953,1508.6158794039918,384.0,5.803571428571429,2.148337386622298,5.0,724.6767857142858,1508.4776416675004,384.0,289.3172619047619,1336.2333930501977,8.0,896480.0821428571,2942958.9014955596,0.0,125.98214285714286,505.63872383124726,33.0,23.738095238095237,13.135405190114774,28.0,323.50119047619046,896.9122254719695,112.0,2.047127380952381,0.7841847149335951,2.1764,0.2724007738095238,0.3207832473589897,0.13185,4.3445238095238095,1.2522201888876356,4.08,2.0,0.0,2.0,44856.640119047624,147136.71573765978,16.65,33.53583333333333,75.36637281033009,13.8,0.1260927380952381,0.1962016792048785,0.0273
mcts_nn_10s_vs_mcts_nn_20s,WHITE,0.5830914690885586,0.29447654771707105,0.6568064023870164,13.703846773238602,3.958175572966001,12.426,0.37889724500207855,0.37772857303465623,0.2978723404255319,388158.93013617524,1412900.8580339039,256.0,349.744819419775,481.5139649790934,256.0,5.197750148016578,1.8433869653135002,5.0,349.141503848431,481.37612840970144,256.0,98.73830669034932,363.45154433285416,4.0,387809.1853167555,1412975.6366152165,0.0,46.16459443457667,124.0813786691347,14.0,24.219064535227947,14.117796282465703,27.0,149.65541740674956,267.07597993790665,72.0,2.045650562462996,0.7145376824284141,2.1386,0.3043371817643576,0.31949578237522946,0.2031,4.05449378330373,1.083401368919102,3.85,2.0,0.0,2.0,38814.934280639434,141285.28825046422,16.1,29.54298401420959,47.53167464341984,13.8,0.10396116044997039,0.1705616057902323,0.0195
mcts_nn_1s_vs_mcts_nn_20s,BLACK,0.5632548154206174,0.287905948531398,0.5693404385174741,23.84243639365918,4.908007725785274,22.99905,0.41882852244301416,0.37328521939074,0.425531914893617,600774.6479524438,2474692.902536798,384.0,785.7318361955085,1640.5130021414964,384.0,5.614927344782035,2.096877520290844,5.0,785.0686922060767,1639.8593806800945,384.0,313.8031704095112,1349.8842082345304,7.0,599988.9161162484,2474833.7359564323,0.0,94.52774108322325,226.00068920996765,33.5,26.256274768824305,12.81333176210625,30.0,299.98546895640686,618.1318708032999,100.5,2.163279854689564,0.7719038649889699,2.3329500000000003,0.2845900924702774,0.32303662536839894,0.1484,4.260376486129458,1.2270199056703899,4.04,2.0,0.0,2.0,30037.695574636724,123731.73209768014,15.5,36.69557463672391,82.14486389991487,14.0,0.11785984147952443,0.19754379440043582,0.02305
mcts_nn_1s_vs_mcts_nn_20s,WHITE,0.5894423165529661,0.30711715455065935,0.6981935544840998,8.903070811518324,6.304306073861434,8.10425,0.42397237384426867,0.37468267638212216,0.425531914893617,8131.125,83794.28824886378,128.0,130.6708115183246,34.08828841122159,128.0,4.321989528795812,1.3251832982486156,4.0,130.48560209424085,34.25635934198837,128.0,9.549738219895287,25.37671921513813,1.0,8000.454188481675,83805.5439144425,0.0,12.859947643979057,17.87990257361011,6.0,22.643979057591622,14.534387213145358,23.0,54.88350785340314,33.59147520647787,50.0,1.9717384162303664,0.676031893898812,2.06165,0.3904278795811518,0.33967462790691305,0.3516,3.7150130890052355,0.7951704251716084,3.54,2.0,0.0,2.0,8028.984489528796,83779.00084132825,15.7,31.188285340314135,41.890688825639614,15.5,0.060041623036649214,0.11824858538476316,0.0078
mcts_nn_20s_vs_mcts_nn_20s,BLACK,0.5713486748982696,0.30174429274893166,0.6007065871876963,24.541362375580626,5.092176283877074,23.0843,0.4111875079416623,0.37803542832827597,0.44680851063829785,720891.7836761778,3220191.32802193,384.0,739.3875248838752,1373.2889751807163,384.0,5.857332448573325,2.0845868435724273,5.0,738.8487060384871,1373.0044283839254,384.0,292.7193098871931,1143.0409030975686,7.0,720152.396151294,3220329.7858477156,0.0,84.85600530856006,237.03221178650736,29.0,25.316522893165228,12.978837064254952,29.0,258.64299933642997,532.1849135032428,113.0,2.1052467153284673,0.7540867067754782,2.2349,0.3067725282017253,0.3290634411506454,0.1797,4.303404114134041,1.1994212407152651,4.1,2.0,0.0,2.0,36041.102853351025,161007.50578692887,15.6,34.14777704047777,68.79656105347313,13.9,0.12224127405441275,0.19724693291655826,0.0234
mcts_nn_20s_vs_mcts_nn_20s,WHITE,0.5411962007032254,0.31128671686092974,0.611459143778457,24.481585442622954,4.99406284232407,23.0145,0.4150540634809906,0.3793930210025776,0.44680851063829785,609242.1016393442,2735101.5519248494,384.0,869.7088524590164,2043.021272953165,384.0,5.87344262295082,2.1102447312124535,5.0,869.0649180327869,2042.3138594835334,384.0,411.8898360655738,1809.2431084990264,6.0,608372.3927868853,2735259.84067445,0.0,89.96852459016394,311.41125774382897,26.0,25.64983606557377,14.395998014426636,29.0,306.4485245901639,637.9637601961487,115.0,2.089435081967213,0.7458591394235404,2.2132,0.31184118032786884,0.3305317739121842,0.1914,4.312773770491803,1.2375889816496168,4.07,2.0,0.0,2.0,30458.50026229508,136753.5036101961,15.0,40.435475409836066,102.01505141759777,13.6,0.1266985573770492,0.20821596950893892,0.0234
mcts_nn_40s_vs_mcts_nn_20s,BLACK,0.4274023337760172,0.30684908487290274,0.42326453616678894,23.862237974683545,4.854023733441183,22.4027,0.3765574723234156,0.36613894771070743,0.3191489361702128,791178.7741505663,2862859.7909841095,384.0,763.9080612924716,1303.732022902575,384.0,5.993337774816789,2.1213098748569137,6.0,763.1518987341772,1303.2009472492696,384.0,287.64956695536307,1067.758764787945,11.0,790414.8660892738,2863000.9077129853,0.0,110.78614257161892,298.0474350969046,27.0,22.49966688874084,13.457668194092774,26.0,332.83744170552967,626.2853100282532,122.0,2.0255104596935376,0.7820487481846568,2.17,0.3066376415722851,0.335170111061285,0.1823,4.380366422385077,1.2125164187115685,4.18,2.0,0.0,2.0,39569.93431045969,143138.27240252675,17.3,48.651365756162555,519.3981143398577,14.6,0.13335822784810128,0.20734051672050022,0.0339
mcts_nn_40s_vs_mcts_nn_20s,WHITE,0.662285329056368,0.2855329406959566,0.7248046229068821,43.50251213720316,5.787797328740187,42.364999999999995,0.382473474428788,0.36824937393324164,0.3191489361702128,1895807.0870712402,6393369.6441943515,768.0,1349.6912928759893,2315.8947295519247,640.0,6.49802110817942,2.4014563875016135,6.0,1348.581134564644,2314.974688685475,640.0,512.1062005277045,1835.6912331777064,17.0,1894457.395778364,6393691.8820877,0.0,249.78496042216358,704.6906930486391,52.0,26.771767810026386,13.802353835278865,30.0,659.8403693931399,1520.0489724978202,197.0,2.134650395778364,0.8655190443991763,2.3025,0.2737755277044855,0.329031482641142,0.0996,4.469307387862797,1.4479511809042531,4.31,2.0,0.0,2.0,47393.59729551451,159833.042638436,17.95,32.65501319261214,58.32743475259566,14.3,0.13540547493403693,0.20605373547693506,0.0365
mcts_nn_5s_vs_mcts_nn_20s,BLACK,0.5771845285190985,0.2934377457610987,0.6103263650072728,24.014707837181046,5.010254122111885,22.9455,0.4206199426074817,0.36935174816550626,0.44680851063829785,545210.1682867558,2450542.9968273183,384.0,763.9106925880924,1593.463410324708,384.0,5.819562575941677,2.400026606369069,5.0,762.9313487241799,1591.1589871335323,384.0,292.5364520048603,1269.5275198255677,7.5,544446.2575941677,2450655.4442955684,0.0,107.49939246658566,345.2480800493268,33.5,26.496962332928312,12.866286494283719,30.0,349.48177399756986,969.8088361604905,108.0,2.151970899149453,0.7718045945574449,2.323,0.26376956257594164,0.3172661355918162,0.1185,4.29996354799514,1.3150989879908328,4.02,2.0,0.0,2.0,27258.369866342648,122525.30884821869,15.5,36.591373025516404,84.73271947269407,14.3,0.11090303766707169,0.18346704307178024,0.0234
mcts_nn_5s_vs_mcts_nn_20s,WHITE,0.5697967994100308,0.3011592411662871,0.6635084809099652,9.943853015681544,4.91611900172533,8.758849999999999,0.42526242845776757,0.3708650660148276,0.46808510638297873,72167.06031363088,428766.6965930346,128.0,225.083835946924,255.39470599842852,128.0,4.8232810615199035,1.9160443421165247,4.0,224.70506634499398,254.77475204045203,128.0,48.11942098914355,151.8691714442084,1.0,71941.97647768396,428788.6764073037,0.0,24.853437876960193,44.72292075838961,10.0,24.21351025331725,14.097693827554817,27.0,87.86188178528347,104.49724846709128,60.0,2.0392927020506635,0.698996657300402,2.1481500000000002,0.35198860072376353,0.3196041559813504,0.3281,3.900790108564536,1.0382886158596014,3.6,2.0,0.0,2.0,14420.525633293124,85749.14144688364,15.8,33.15850422195416,55.485951209179895,15.0,0.08367689987937274,0.1483062437878077,0.0078
