Result: Draw by threefold repetition

1: c3e2
2: c7c5
3: f2f4
4: f7f6
5: g1f3
6: b8c6
7: c2c3
8: d8c7
9: g2g3
10: c7b6
11: f1h3
12: f6f5
13: e1g1
14: h7h5
15: h3g2
16: c5d4
17: c3d4
18: f8e7
19: h2h4
20: e8f7
21: f3g5
22: e7g5
23: h4g5
24: h8f8
25: c1d2
26: b6d8
27: g2h3
28: a8b8
29: h3g2
30: a7a5
31: g2f3
32: g7g6
33: a1c1
34: d7b6
35: d2c3
36: b6c4
37: g1f2
38: c8d7
39: f1h1
40: f8h8
41: b2b3
42: c4b6
43: c3b2
44: f7g8
45: f3g2
46: c6e7
47: g2f1
48: a5a4
49: f2e3
50: a4b3
51: a2b3
52: b6c4
53: b3c4
54: d5c4
55: f1g2
56: e7d5
57: g2d5
58: e6d5
59: e3f3
60: d8g5
61: f4g5
62: b7b5
63: h1h5
64: h8h5
65: c1c4
66: b5c4
67: d1a1
68: b8b2
69: a1b2
70: h5g5
71: b2b8
72: g8f7
73: e5e6
74: d7e6
75: b8a7
76: f7f8
77: a7a3
78: f8e8
79: f3f4
80: g5h5
81: f4e5
82: e6g8
83: e5f6
84: h5h7
85: f6g6
86: h7e7
87: a3a8
88: e8d7
89: a8g8
90: e7e2
91: g8d5
92: d7e7
93: d5c4
94: e2e6
95: c4e6
96: e7e6
97: d4d5
98: e6d5
99: g6f5
100: d5d4
101: f5f4
102: d4d5
103: f4f5
104: d5d4
105: f5f4
106: d4d5
