Result: Draw by threefold repetition

1: h2h3
2: h7h6
3: g1f3
4: b8c6
5: d4d5
6: c6b8
7: f3h4
8: e7e6
9: d5e6
10: f6e4
11: e6f7
12: e8f7
13: d1d5
14: f7f6
15: c3e4
16: f6e7
17: e4d6
18: c7d6
19: h4g6
20: e7f6
21: g6h8
22: g7h8
23: d5h5
24: c8h3
25: h5h4
26: f6e6
27: h4h3
28: e6f7
29: h3f3
30: h8f6
31: f3b7
32: d8e7
33: b7e7
34: f7e7
35: h1h6
36: f6b2
37: c1b2
38: e7d7
39: h6d6
40: d7d6
41: b2a3
42: d6d7
43: e1c1
44: d7e8
45: d1e1
46: e8d8
47: a3e7
48: d8e8
49: e7b4
50: e8d8
51: b4e7
52: d8e8
53: e7c5
54: e8d8
