Result: Draw by insufficient material

1: f3d4
2: e7e6
3: e2e4
4: f8e7
5: c1f4
6: d7d6
7: d4c2
8: e8g8
9: f1e2
10: a7a6
11: h2h3
12: c6e5
13: d1d4
14: e5g6
15: f4h2
16: e6e5
17: d4d2
18: b7b5
19: c4b5
20: c8b7
21: e1g1
22: f6e4
23: c3e4
24: b7e4
25: b5a6
26: e7g5
27: d2d1
28: d8b6
29: b2b4
30: f8c8
31: e2d3
32: e4d3
33: d1d3
34: b6a6
35: b4b5
36: a6a4
37: c2e3
38: c8c5
39: f1b1
40: h7h5
41: e3d5
42: g5d8
43: a2a3
44: d8a5
45: b1b3
46: e5e4
47: d3d1
48: a8d8
49: b3b2
50: a4d1
51: a1d1
52: c5c4
53: d5f4
54: g6f4
55: h2f4
56: d6d5
57: b5b6
58: a5c3
59: b2b5
60: c4c6
61: b5b3
62: c6b6
63: b3c3
64: d8d7
65: f4c7
66: d7c7
67: c3c7
68: b6b5
69: c7d7
70: f7f5
71: d7d5
72: b5d5
73: d1d5
74: f5f4
75: d5h5
76: e4e3
77: f2e3
78: f4e3
79: h5h8
80: g8h8
81: g1f1
82: e3e2
83: f1e2
84: h8h7
85: a3a4
86: h7g6
87: a4a5
88: g6h5
89: g2g4
90: h5g5
91: h3h4
92: g5h4
93: e2f3
94: g7g5
95: a5a6
96: h4h3
97: f3e4
98: h3g4
99: a6a7
100: g4h4
101: a7a8q
102: h4g3
103: a8a4
104: g5g4
105: a4a3
106: g3h4
107: a3e7
108: h4h3
109: e7a3
110: h3g2
111: a3b2
112: g2h3
113: b2a3
114: g4g3
115: a3g3
116: h3g3
