Result: Draw by threefold repetition

1: f3d4
2: e7e6
3: e2e4
4: f8e7
5: c1f4
6: d7d6
7: d4c2
8: e8g8
9: f1e2
10: a7a6
11: h2h3
12: c6e5
13: d1d4
14: e5g6
15: f4h2
16: e6e5
17: d4d1
18: c8e6
19: e1g1
20: a8c8
21: c2e3
22: d8a5
23: d1d3
24: f8e8
25: a1c1
26: e7f8
27: c1c2
28: h7h6
29: d3d2
30: b7b6
31: e2d3
32: f8e7
33: d2e2
34: e7f8
35: f1b1
36: a5b4
37: e3d5
38: e6d5
39: c3d5
40: f6d5
41: c4d5
42: g6f4
43: h2f4
44: c8c2
45: d3c2
46: e5f4
47: e2a6
48: b4c5
49: a6d3
50: e8c8
51: c2a4
52: c5c4
53: d3c4
54: c8c4
55: b2b3
56: c4c2
57: a2a3
58: c2a2
59: g2g3
60: f4g3
61: f2g3
62: g7g6
63: g1f1
64: a2h2
65: f1g1
66: h2a2
67: b1c1
68: f8g7
69: c1c8
70: g8h7
71: c8c7
72: h7g8
73: c7c6
74: g7e5
75: c6b6
76: e5d4
77: g1h1
78: d4b6
79: a4c6
80: a2a3
81: c6a4
82: a3a4
83: b3a4
84: b6c7
85: h1g1
86: c7b6
87: g1h2
88: b6c7
89: h2g1
90: c7b6
91: g1h2
92: b6c7
