Result: Draw by threefold repetition

1: g1f3
2: d5c4
3: b1c3
4: e8g8
5: f3e5
6: c7c5
7: d4c5
8: d8c7
9: c5c6
10: b8c6
11: e5c4
12: f8d8
13: d1a4
14: c8d7
15: c4e3
16: g8h8
17: h2h4
18: h8g8
19: a2a3
20: g8h8
21: c3b5
22: c7c8
23: h4h5
24: e6e5
25: a4h4
26: h8g8
27: h1g1
28: g8h8
29: h5h6
30: d8g8
31: g1h1
32: g7g5
33: h4c4
34: d7e6
35: c4d3
36: g8d8
37: d3c2
38: a7a6
39: b5c3
40: h8g8
41: c3d1
42: c6d4
43: c2b1
44: g8h8
45: a3a4
46: h8g8
47: b2b4
48: g8h8
49: c1a3
50: h8g8
51: f2f3
52: g8h8
53: b1c1
54: d8d7
55: g3g4
56: h8g8
57: a4a5
58: g8h8
59: c1c3
60: h8g8
61: c3c1
62: g8h8
63: c1b1
64: h8g8
