Result: Black wins by checkmate

1: b1c3
2: a7a6
3: c1e3
4: b8d7
5: g2g4
6: d7c5
7: f2f3
8: e7e5
9: d4b3
10: c8e6
11: e3f2
12: f6d7
13: d1d2
14: a8c8
15: e1c1
16: f8e7
17: c1b1
18: b7b5
19: f2e3
20: e8g8
21: h2h4
22: c5a4
23: c3d5
24: e6d5
25: d2d5
26: a4b6
27: d5d2
28: b6c4
29: d2e1
30: e7h4
31: h1h4
32: c4e3
33: e1e3
34: d8h4
35: d1d6
36: h4h2
37: f1e2
38: d7b8
39: a2a3
40: g8h8
41: c2c3
42: h8g8
43: b3a5
44: f8d8
45: d6b6
46: g8h8
47: a5b7
48: d8f8
49: b7d6
50: c8c7
51: e2f1
52: h8g8
53: d6b5
54: a6b5
55: f1b5
56: h2f4
57: b6b8
58: f4e3
59: b8f8
60: g8f8
61: b1c2
62: e3f2
63: c2b3
64: f2f3
65: b5d7
66: c7d7
67: a3a4
68: f3g4
69: b3c2
70: g4d1
