Result: Draw by threefold repetition

1: e2e4
2: b7b5
3: a2a4
4: b5b4
5: c3b1
6: c8a6
7: b1d2
8: c4c3
9: b2c3
10: b4c3
11: f1a6
12: c3d2
13: c1d2
14: b8a6
15: d1e2
16: d8b6
17: a4a5
18: b6b5
19: e2e3
20: h8g8
21: e4e5
22: e8d8
23: f3g5
24: a8c8
25: h2h4
26: c8b8
27: h1h3
28: f6d5
29: e3f3
30: f7f6
31: g5h7
32: g8h8
33: f3f5
34: h8h7
35: f5h7
36: d8c8
37: g2g4
38: c8d8
39: h3d3
40: d8d7
41: d3f3
42: b8e8
43: a1b1
44: b5a4
45: h7d3
46: a6c7
47: e5f6
48: e7f6
49: f3e3
50: d5f4
51: d3h7
52: a4d4
53: e3e8
54: d7e8
55: h7f5
56: c7d5
57: g4g5
58: f8c5
59: g5f6
60: g7f6
61: d2f4
62: d4f2
63: e1d1
64: d5f4
65: b1b7
66: f2e2
67: d1c1
68: f4d3
69: f5d3
70: e2d3
71: h4h5
72: c5a3
73: b7b2
74: a3b2
75: c1b2
76: d3b5
77: b2a3
78: b5a5
79: a3b3
80: a5h5
81: b3a4
82: h5d1
83: a4a3
84: d1d6
85: a3a4
86: d6d1
87: a4b4
88: d1e1
89: b4a4
