Result: Draw by threefold repetition

1: d2d3
2: e4f6
3: h2h3
4: h7h6
5: f1e2
6: b8c6
7: d3d4
8: d6d5
9: b1c3
10: a7a6
11: c1f4
12: f6h5
13: f4e3
14: a8a7
15: f3e5
16: h5f6
17: e5g4
18: f8b4
19: e2f3
20: c8e6
21: d1d3
22: e8g8
23: a2a3
24: b4a5
25: e1c1
26: f6h7
27: c3e2
28: e6c8
29: g4e5
30: c6e7
31: f3h5
32: c8f5
33: d3b3
34: f7f6
35: e5g4
36: h7g5
37: g4h2
38: f5h7
39: f2f4
40: g5e4
41: h5f3
42: g8h8
43: g2g4
44: c7c6
45: f4f5
46: h7g8
47: e2f4
48: a5c7
49: h1f1
50: b7b5
51: f3h1
52: g8f7
53: h2f3
54: d8b8
55: f3h4
56: e4g3
57: f1f2
58: c7d6
59: e3d2
60: g3e4
61: h1e4
62: d5e4
63: b3e3
64: f8e8
65: e3e4
66: e7d5
67: f4e6
68: d6g3
69: d2h6
70: g7h6
71: e4d5
72: c6d5
73: h4g6
74: f7g6
75: f5g6
76: g3f2
77: g6g7
78: a7g7
79: e6g7
80: h8g7
81: c2c3
82: f2d4
83: c3d4
84: e8h8
85: d1f1
86: h8g8
87: f1f2
88: g8c8
89: c1d2
90: c8h8
91: f2f6
92: g7f6
93: g4g5
94: h6g5
95: d2e3
96: h8h3
97: e3e2
98: h3a3
99: b2a3
100: b8h2
101: e2e3
102: h2g1
103: e3f3
104: g1d4
105: f3e2
106: d4b2
107: e2f3
108: b2a3
109: f3e2
110: a3b2
111: e2d3
112: b2b1
113: d3d2
114: b1b4
115: d2c2
116: b4e4
117: c2d2
118: e4f4
119: d2e2
120: f4c4
121: e2d2
122: c4f4
123: d2e2
124: f4g4
125: e2f2
126: g4d4
127: f2e2
128: d4g4
129: e2f2
130: g4d4
131: f2e2
