Result: Black wins by checkmate

1: e2e3
2: h7h6
3: g5f6
4: e7f6
5: c4d5
6: e6d5
7: d1f3
8: c7c6
9: h2h3
10: e8g8
11: f3d1
12: c8f5
13: f1d3
14: f5d3
15: d1d3
16: d8b6
17: a1b1
18: f8e8
19: e1f1
20: a7a6
21: c3a4
22: b6a5
23: d3b3
24: b8d7
25: g2g3
26: a5c7
27: b1c1
28: a8c8
29: a4c3
30: c7b8
31: b3d1
32: b7b5
33: g1e2
34: b8b7
35: f1g1
36: g7g6
37: h3h4
38: f6e7
39: e2f4
40: a6a5
41: h4h5
42: g6g5
43: f4d3
44: b5b4
45: c3a4
46: f7f5
47: d1f3
48: e8f8
49: g1h2
50: b7a6
51: h1d1
52: c8c7
53: d1d2
54: g8h8
55: h2g1
56: a6c8
57: d2c2
58: e7d6
59: g1g2
60: d7f6
61: a4b6
62: c8e8
63: g2g1
64: a5a4
65: b2b3
66: a4a3
67: f3d1
68: f5f4
69: c2c6
70: c7c6
71: c1c6
72: e8c6
73: d3b4
74: d6b4
75: e3f4
76: g5f4
77: b6a4
78: f6h5
79: g3g4
80: h8g8
81: g4h5
82: c6b7
83: a4c5
84: b4c5
85: d4c5
86: g8h8
87: d1d5
88: b7d5
89: b3b4
90: f8g8
91: g1f1
92: d5d3
93: f1e1
94: g8e8
