Result: White wins by checkmate

1: b1c3
2: f6d5
3: f1c4
4: c7c6
5: h2h4
6: f8e7
7: c4d3
8: b8d7
9: e3e4
10: d5c3
11: b2c3
12: c6c5
13: d4d5
14: d8a5
15: c1d2
16: a7a6
17: d5e6
18: f7e6
19: c3c4
20: a5d8
21: e4e5
22: d8c7
23: d1e2
24: e8g8
25: d2c3
26: a6a5
27: f3g5
28: c7e5
29: c3e5
30: d7e5
31: d3h7
32: g8h8
33: g5e6
34: c8e6
35: e2e5
36: f8f6
37: h7f5
38: e6f5
39: e5e7
40: f6e6
41: e7e6
42: f5e6
43: e1e2
44: e6c4
45: e2e1
46: c4a2
47: a1a2
48: a8e8
49: e1d1
50: e8e1
51: d1e1
52: b7b6
53: a2a5
54: b6a5
55: f2f4
56: g7g5
57: f4g5
58: h8h7
59: g5g6
60: h7g6
61: h4h5
62: g6f5
63: h1g1
64: a5a4
65: g2g4
66: f5f4
67: h5h6
68: a4a3
69: h6h7
70: a3a2
71: h7h8q
72: a2a1q
73: h8a1
74: f4e3
75: a1e5
76: e3d3
77: e5c5
78: d3e4
79: c5c2
80: e4f3
81: c2a4
82: f3e3
83: g1g3
