Result: Draw by threefold repetition

1: c1g5
2: c7c6
3: a2a3
4: e8g8
5: g5h4
6: b7b5
7: c4a2
8: b8d7
9: b2b4
10: c5b6
11: a3a4
12: a7a5
13: a4b5
14: a5b4
15: a2f7
16: f8f7
17: a1a8
18: d8c7
19: c3a2
20: b6a5
21: b5b6
22: a5b6
23: g1f3
24: b6c5
25: c2c3
26: c7b7
27: a8c8
28: b7c8
29: f3g5
30: c5f2
31: h4f2
32: f6e4
33: g5e4
34: f7f2
35: e4d6
36: c8f8
37: d1b3
38: g8h8
39: a2b4
40: d7c5
41: b3c4
42: h7h6
43: c4c5
44: f2g2
45: h1g1
46: g2g1
47: c5g1
48: f8d6
49: g1b6
50: d6b4
51: c3b4
52: g7g6
53: b6c6
54: h8g7
55: c6g6
56: g7g6
57: b4b5
58: g6f7
59: e1f2
60: e5e4
61: d3e4
62: f7f6
63: e4e5
64: f6e5
65: f2g3
66: e5d6
67: g3g4
68: h6h5
69: g4h5
70: d6c5
71: h5h6
72: c5b5
73: h2h4
74: b5c6
75: h6g7
76: c6d6
77: g7f6
78: d6d7
79: f6f7
80: d7d6
81: h4h5
82: d6e5
83: h5h6
84: e5f5
85: h6h7
86: f5e5
87: h7h8q
88: e5d5
89: h8d8
90: d5c4
91: d8c8
92: c4b5
93: c8b8
94: b5a6
95: b8a8
96: a6b6
97: a8b8
98: b6c6
99: b8c8
100: c6b6
101: c8b8
102: b6c6
103: b8c8
104: c6b6
