Result: Black wins by checkmate

1: f1c4
2: a7a6
3: e1g1
4: b8d7
5: a2a4
6: c7c5
7: e3e4
8: f6e4
9: d1e2
10: e4d6
11: c1g5
12: f8e7
13: d4c5
14: d6c4
15: g5e7
16: d8e7
17: b2b4
18: c4a5
19: e2b2
20: e8g8
21: b2c3
22: g8h8
23: f1c1
24: a5c6
25: b1d2
26: d7c5
27: b4c5
28: e6e5
29: c1e1
30: f7f6
31: h2h4
32: h8g8
33: c3a3
34: g8h8
35: d2c4
36: c8e6
37: c4b6
38: a8d8
39: f3h2
40: h8g8
41: g2g4
42: g8h8
43: a4a5
44: h8g8
45: h4h5
46: g8h8
47: a3c3
48: h8g8
49: c3e3
50: g8h8
51: a1a4
52: h8g8
53: f2f4
54: g8h8
55: f4f5
56: e6g8
57: g1h1
58: g8d5
59: b6d5
60: d8d5
61: e3e5
62: f6e5
63: e1e5
64: c6e5
65: f5f6
66: e7c5
67: f6g7
68: h8g7
69: h5h6
70: g7h6
71: g4g5
72: h6g5
73: a4g4
74: e5g4
75: h2f1
76: f8f1
77: h1g2
78: c5a5
79: g2f1
80: a5a2
81: f1e1
82: a2f2
