Result: Draw by insufficient material

1: a2a4
2: e8g8
3: g1f3
4: c7c6
5: e1g1
6: h7h6
7: h2h3
8: f8e8
9: c4a2
10: b8d7
11: a4a5
12: c5b4
13: g2g4
14: b4a5
15: c3e2
16: d6d5
17: e2g3
18: d7f8
19: a2b3
20: d5e4
21: g4g5
22: e4f3
23: g5f6
24: d8f6
25: h3h4
26: f8h7
27: a1a5
28: b7b5
29: f1e1
30: c8g4
31: h4h5
32: f6h4
33: e1e3
34: h4g3
35: f2g3
36: f3f2
37: g1f2
38: g4d1
39: b3f7
40: g8f7
41: a5a7
42: a8a7
43: e3e5
44: e8e5
45: c1h6
46: g7h6
47: d3d4
48: e5h5
49: f2g2
50: d1c2
51: g2g1
52: a7a1
53: g1g2
54: c2e4
55: g2f2
56: h5h2
57: f2e3
58: h2b2
59: e3e4
60: h7f6
61: e4f3
62: b2b3
63: f3g2
64: b3g3
65: g2g3
66: f6h5
67: g3f2
68: a1a2
69: f2e1
70: a2a1
71: e1d2
72: a1a2
73: d2c3
74: a2c2
75: c3c2
76: h5f6
77: c2c3
78: f6d5
79: c3c2
80: d5e3
81: c2d3
82: e3d5
83: d3e4
84: d5f6
85: e4e5
86: f6g4
87: e5d6
88: g4f2
89: d6c6
90: h6h5
91: c6b5
92: f2h3
93: b5c4
94: h3g5
95: c4c5
96: g5e4
97: c5c4
98: e4d6
99: c4d5
100: d6e8
101: d5e4
102: e8f6
103: e4f4
104: f6d5
105: f4g5
106: d5f6
107: d4d5
108: f6d5
109: g5h5
