Result: Black wins by checkmate

1: e2e4
2: h7h6
3: d4d5
4: c7c6
5: c1e3
6: b8a6
7: g2g4
8: d8c7
9: g1h3
10: a6c5
11: e3c5
12: d6c5
13: d5c6
14: c7c6
15: h3f2
16: c8e6
17: d1a4
18: c6a4
19: c3a4
20: b7b6
21: a4c3
22: h6h5
23: f1e2
24: a8d8
25: e1g1
26: h5g4
27: f3g4
28: d8d2
29: a1d1
30: d2b2
31: e4e5
32: f6d7
33: f2d3
34: b2e2
35: c3e2
36: d7e5
37: d3e5
38: g7e5
39: e2f4
40: e6g4
41: d1e1
42: e5d4
43: g1h1
44: h8g8
45: f4d5
46: e7e6
47: d5e3
48: g4h5
49: e3d5
50: g6g5
51: d5f6
52: d4f6
53: f1f6
54: e8e7
55: f6f2
56: h5g6
57: f2g2
58: g6d3
59: e1e3
60: d3c4
61: e3a3
62: c4d5
63: a3a7
64: e7f6
65: h1g1
66: d5g2
67: g1g2
68: c5c4
69: a7a6
70: b6b5
71: a6a5
72: g8b8
73: g2h3
74: b8b7
75: a5a8
76: f6f5
77: h3g3
78: b5b4
79: g3f3
80: c4c3
81: f3e3
82: b7c7
83: a8a5
84: e6e5
85: a5a4
86: c3c2
87: a4b4
88: c2c1q
89: e3e2
90: c7c2
91: e2f3
92: c2h2
93: b4g4
94: h2a2
95: g4g5
96: f5g5
97: f3e4
98: c1d1
99: e4e3
100: d1e2
