Result: Draw by threefold repetition

1: f3d4
2: c6d4
3: d1d4
4: d7d6
5: c3d5
6: e7e5
7: d4d3
8: f6d5
9: c4d5
10: d8a5
11: c1d2
12: a5b6
13: e2e4
14: c8d7
15: d3b3
16: b6b3
17: a2b3
18: f7f5
19: f1d3
20: f5e4
21: d3e4
22: f8e7
23: e1g1
24: e8g8
25: f2f4
26: d7b5
27: f1f3
28: e5f4
29: d2f4
30: e7f6
31: a1e1
32: f6d4
33: f4e3
34: f8f3
35: e4f3
36: d4b2
37: g1f2
38: b2e5
39: g2g3
40: e5f6
41: e3f4
42: a8c8
43: h2h4
44: c8c2
45: f2e3
46: f6c3
47: f3e4
48: c2a2
49: e1d1
50: c3b4
51: e4d3
52: b4c5
53: e3f3
54: b5d3
55: d1d3
56: g8f7
57: f4e3
58: c5e3
59: f3e3
60: a2c2
61: b3b4
62: f7g6
63: d3a3
64: a7a6
65: b4b5
66: a6b5
67: a3b3
68: c2c5
69: e3e4
70: g6f6
71: e4d4
72: f6f5
73: b3f3
74: f5g6
75: f3b3
76: g6f5
77: b3f3
78: f5g6
79: f3b3
