Result: Black wins by checkmate

1: d4b3
2: c5d6
3: b1c3
4: g8f6
5: b3d4
6: d6b4
7: d1d3
8: e8g8
9: c1g5
10: c6d4
11: d3d4
12: c7c5
13: d4e3
14: b4c3
15: e3c3
16: f6e4
17: g5d8
18: e4c3
19: d8h4
20: f8e8
21: e1d2
22: c3e4
23: d2d3
24: d7d5
25: f2f3
26: e4d6
27: h4g3
28: d6f5
29: g3f2
30: c5c4
31: d3d2
32: c8d7
33: g2g4
34: f5e7
35: a1e1
36: f7f5
37: h2h3
38: f5f4
39: f2c5
40: e7c6
41: e1e8
42: a8e8
43: c5d6
44: c6d4
45: d6f4
46: g7g5
47: f4e3
48: d4f3
49: d2e2
50: d5d4
51: e2f3
52: d7c6
53: f3g3
54: e8e3
55: g3h2
56: b7b5
57: a2a4
58: c6h1
59: h2h1
60: e3e8
61: a4b5
62: e8c8
63: c2c3
64: d4d3
65: f1d3
66: c4d3
67: h1g2
68: d3d2
69: b5b6
70: a7b6
71: g2f3
72: c8e8
73: b2b4
74: d2d1q
75: f3g3
76: d1g1
77: g3f3
78: e8e3
