Result: Draw by threefold repetition

1: e1g1
2: d7d6
3: c3d5
4: a7a5
5: d5f6
6: d8f6
7: c2c3
8: c8g4
9: c3b4
10: g4f3
11: d1f3
12: f6f3
13: g2f3
14: a5b4
15: d2d3
16: e8e7
17: b5c6
18: b7c6
19: f3f4
20: e7e6
21: c1d2
22: c6c5
23: f4e5
24: e6e5
25: a2a3
26: e5d4
27: a3b4
28: a8a1
29: f1a1
30: d4d3
31: d2e1
32: c5b4
33: e1b4
34: h8c8
35: f2f3
36: d3e3
37: a1a3
38: e3e2
39: b4c3
40: e2f3
41: c3g7
42: f3e4
43: g1f2
44: e4f5
45: a3f3
46: f5g6
47: g7c3
48: c8f8
49: f2e3
50: f7f6
51: h2h4
52: c7c5
53: e3e4
54: f6f5
55: e4d5
56: g6h5
57: f3f4
58: h5g6
59: d5d6
60: f8f6
61: d6c5
62: f6f8
63: f4a4
64: f8c8
65: c5d4
66: c8c3
67: b2c3
68: g6h6
69: a4a6
70: h6h5
71: a6a3
72: h5h4
73: d4c4
74: f5f4
75: c4d4
76: f4f3
77: d4e3
78: h4g3
79: a3a7
80: f3f2
81: e3e2
82: g3g2
83: a7g7
84: g2h2
85: g7h7
86: h2g2
87: h7g7
88: g2h3
89: e2f2
90: h3h4
91: g7c7
92: h4g5
93: c7c5
94: g5f4
95: c5c8
96: f4e5
97: c8e8
98: e5f6
99: e8a8
100: f6g7
101: a8a3
102: g7g8
103: f2e3
104: g8f7
105: e3d4
106: f7e7
107: d4d3
108: e7d8
109: a3a8
110: d8c7
111: a8h8
112: c7d7
113: h8h4
114: d7e6
115: h4e4
116: e6f5
117: e4b4
118: f5e5
119: b4e4
120: e5f5
121: e4b4
122: f5e5
123: b4e4
