Result: Draw by threefold repetition

1: b1c3
2: e7e5
3: d4f3
4: b8c6
5: c1e3
6: d8a5
7: f1d3
8: f6g4
9: d1c1
10: g4e3
11: c1e3
12: a5b4
13: a1b1
14: b4c5
15: e3c5
16: d6c5
17: d3b5
18: f8d6
19: b1d1
20: e8e7
21: c3d5
22: e7e8
23: d5e3
24: d6c7
25: e3c4
26: c8g4
27: h1g1
28: f7f6
29: b5c6
30: b7c6
31: b2b3
32: g4e6
33: e1e2
34: e8f7
35: c4d6
36: f7e7
37: d6b7
38: c5c4
39: b7c5
40: c7d6
41: c5e6
42: e7e6
43: f3d2
44: c4b3
45: a2b3
46: h8d8
47: g2g4
48: d6b4
49: g4g5
50: f6g5
51: g1g5
52: e6f6
53: g5f5
54: f6e6
55: d2c4
56: d8d1
57: f5e5
58: e6f6
59: e5f5
60: f6e6
61: e2d1
62: g7g6
63: f5g5
64: b4c3
65: g5g3
66: c3e5
67: g3h3
68: h7h5
69: c4e5
70: e6e5
71: h3g3
72: a8g8
73: f2f3
74: e5f4
75: d1d2
76: h5h4
77: g3h3
78: g6g5
79: d2d3
80: c6c5
81: d3c4
82: f4e5
83: c4b5
84: g8f8
85: b5c4
86: f8f7
87: c4d3
88: f7e7
89: d3c4
90: e7f7
91: c4d3
92: f7e7
93: d3c4
