Result: Draw by stalemate

1: e4g3
2: f5g6
3: f1d3
4: g6d3
5: d1d3
6: g8f6
7: g1f3
8: b8d7
9: d3b3
10: d7b6
11: e1g1
12: e7e6
13: c1d2
14: f8d6
15: b3d3
16: e8f8
17: g3e4
18: f6e4
19: d3e4
20: b6c4
21: e4e2
22: c4d2
23: e2d2
24: h7h6
25: d2c3
26: a7a5
27: f3e5
28: f8g8
29: c3f3
30: d6e5
31: d4e5
32: d8d4
33: f3b3
34: d4e5
35: f1e1
36: e5b5
37: b3b5
38: c6b5
39: e1e5
40: b5b4
41: a1d1
42: a8c8
43: d1d2
44: b7b6
45: e5e3
46: g8h7
47: e3d3
48: h7g6
49: d3g3
50: g6f6
51: g3d3
52: c8c5
53: d3f3
54: f6e7
55: f3d3
56: h8c8
57: d3d7
58: e7f6
59: d7d3
60: c5c2
61: d2c2
62: c8c2
63: d3f3
64: f6e7
65: f3f7
66: e7f7
67: g1f1
68: c2b2
69: h2h3
70: b2a2
71: g2g3
72: a2f2
73: f1f2
74: f7f6
75: f2e3
76: f6e5
77: e3d3
78: e5d5
79: d3c2
80: d5c4
81: c2b2
82: b6b5
83: h3h4
84: e6e5
85: h4h5
86: e5e4
87: g3g4
88: e4e3
89: b2a2
90: b4b3
91: a2a3
92: b5b4
93: a3a4
94: e3e2
95: a4a5
96: e2e1q
97: a5a6
98: e1e6
99: a6a5
100: e6g4
101: a5a4
102: g4h5
