Result: Black wins by checkmate

1: g1f3
2: f6e4
3: f3g5
4: e4g5
5: c1g5
6: b8c6
7: d4d5
8: g7c3
9: b2c3
10: c6e5
11: c4e2
12: h7h6
13: g5f4
14: c7c6
15: e1g1
16: c6d5
17: d1d5
18: d8c7
19: f4e5
20: d6e5
21: e2b5
22: e8f8
23: a1e1
24: c8e6
25: d5e5
26: c7e5
27: e1e5
28: e6a2
29: f1e1
30: a2e6
31: b5d3
32: f8g7
33: e5e6
34: f7e6
35: e1e6
36: g7f7
37: e6e4
38: a8c8
39: d3c4
40: f7f6
41: e4e7
42: f6e7
43: c4d3
44: e7f7
45: d3g6
46: f7g6
47: g2g3
48: c8c3
49: g1f1
50: c3c2
51: f1e1
52: g6f5
53: g3g4
54: f5g4
55: h2h3
56: g4h3
57: e1d1
58: c2a2
59: f2f4
60: h8g8
61: d1e1
62: g8g1
