Result: Black wins by checkmate

1: c4d5
2: e6d5
3: c1g5
4: c8b7
5: g5f6
6: d8f6
7: d1b3
8: f6e6
9: e2e3
10: f8e7
11: f1d3
12: e8g8
13: b3c2
14: f7f5
15: h2h4
16: b8c6
17: e1g1
18: c6b4
19: c2b1
20: b4d3
21: b1d3
22: a7a6
23: a2a3
24: e6h6
25: g2g3
26: h6d6
27: d3d2
28: b6b5
29: a3a4
30: b5b4
31: f1c1
32: a8b8
33: c3a2
34: a6a5
35: c1c5
36: d6b6
37: c5b5
38: b6a7
39: a1c1
40: c7c6
41: b5b7
42: a7b7
43: f3e5
44: f8f6
45: d2c2
46: b4b3
47: c2c6
48: f6c6
49: e5c6
50: b3a2
51: c6e7
52: g8f7
53: e7f5
54: f7g6
55: f5g7
56: a2a1q
57: c1a1
58: b8a8
59: h4h5
60: g6g7
61: h5h6
62: g7g6
63: a1b1
64: a8b8
65: b2b4
66: a5b4
67: b1b4
68: b7b4
69: g1h2
70: b4a5
71: f2f4
72: g6f5
73: g3g4
74: f5g4
75: f4f5
76: b8b2
77: h2g1
78: a5e1
