Result: Draw by insufficient material

1: e2e4
2: b7b5
3: f3e5
4: f6d7
5: d1h5
6: d7e5
7: d4e5
8: g7g6
9: h5d1
10: d8d1
11: c3d1
12: b8d7
13: e5e6
14: d7c5
15: e6f7
16: e8f7
17: f2f3
18: e7e5
19: f1c4
20: b5c4
21: h2h3
22: c5e6
23: d1e3
24: c8a6
25: e3c4
26: a6c4
27: e1d1
28: f8d6
29: a2a4
30: c4b3
31: d1e1
32: a7a5
33: e1f2
34: g6g5
35: c1g5
36: e6g5
37: h1c1
38: c6c5
39: c1d1
40: b3d1
41: a1d1
42: d6f8
43: d1d7
44: f7g6
45: d7h7
46: g5h7
47: f2e3
48: f8h6
49: e3d3
50: a8d8
51: d3c3
52: h6d2
53: c3b3
54: c5c4
55: b3c4
56: d8d4
57: c4b3
58: h7g5
59: b3a3
60: d4a4
61: a3a4
62: g5f3
63: g2f3
64: d2c1
65: a4a5
66: c1b2
67: h3h4
68: h8f8
69: h4h5
70: g6g5
71: f3f4
72: e5f4
73: h5h6
74: g5h6
75: a5b4
76: f8b8
77: b4a4
78: b8e8
79: a4b3
80: b2g7
81: b3c4
82: e8e4
83: c4c5
84: e4e5
85: c5d6
86: e5d5
87: d6d5
88: h6g5
89: d5e4
90: g7f6
91: e4f3
92: f6g7
93: f3e2
94: f4f3
95: e2f3
