Result: Draw by insufficient material

1: g1f3
2: h7h6
3: e4e5
4: d6e5
5: d4e5
6: d8d1
7: c3d1
8: f6g4
9: c1f4
10: g6g5
11: f4g3
12: b8c6
13: e5e6
14: c8e6
15: g3c7
16: a8c8
17: c7g3
18: g4e5
19: f3e5
20: c6e5
21: g3e5
22: g7e5
23: a1c1
24: b7b5
25: c4c5
26: c8b8
27: d1c3
28: b5b4
29: f1b5
30: e8f8
31: a2a4
32: a7a6
33: b5a6
34: b4c3
35: b2c3
36: e5f4
37: c1a1
38: f4e5
39: e1d2
40: b8b2
41: d2e3
42: e6d5
43: a6f1
44: b2b3
45: a1d1
46: d5c6
47: d1d8
48: f8g7
49: d8h8
50: g7h8
51: a4a5
52: e5f6
53: a5a6
54: h8g8
55: h1g1
56: f6e5
57: h2h3
58: e7e6
59: f1d3
60: e5h2
61: g1h1
62: h2f4
63: e3d4
64: b3b2
65: f2f3
66: b2g2
67: d3e4
68: c6e4
69: f3e4
70: g2a2
71: e4e5
72: f7f6
73: e5f6
74: g8f7
75: h3h4
76: e6e5
77: d4c4
78: a2a6
79: h4g5
80: f4g5
81: h1h6
82: g5h6
83: c4d5
84: h6d2
85: d5e5
86: d2c3
87: e5d5
88: c3f6
89: c5c6
90: a6c6
91: d5c6
