Result: Black wins by checkmate

1: a2a3
2: b4c3
3: b2c3
4: d7d6
5: g1e2
6: e6e5
7: d4e5
8: d6e5
9: d1d8
10: f8d8
11: f2f4
12: b8d7
13: f4e5
14: d7e5
15: h2h3
16: e5d3
17: e1d2
18: d3f2
19: d2e1
20: f2h1
21: e2d4
22: f6d7
23: d4b5
24: a8b8
25: b5c7
26: h1g3
27: c7e8
28: g3f1
29: e1f1
30: g8f8
31: e8g7
32: f8g7
33: c4c5
34: d7c5
35: f1e2
36: d8h8
37: e2d1
38: c5d7
39: c3c4
40: f7f6
41: a3a4
42: b8a8
43: a4a5
44: a7a6
45: c1a3
46: h7h5
47: a3f8
48: h8f8
49: a1b1
50: a8b8
51: b1b7
52: b8b7
53: d1c1
54: b7b1
55: c1b1
56: f6f5
57: b1c2
58: c8b7
59: c4c5
60: d7c5
61: c2d1
62: b7g2
63: h3h4
64: g2f3
65: d1e1
66: c5e4
67: e1f1
68: f8d8
69: f1g1
70: d8d1
71: g1h2
72: d1h1
