Result: Black wins by checkmate

1: b5c6
2: d7c6
3: f3e5
4: d8e7
5: e5c6
6: b7c6
7: d2d3
8: b4c3
9: b2c3
10: e7e5
11: f2f4
12: e5a5
13: c1d2
14: c8g4
15: d1g4
16: f6g4
17: f4f5
18: g7g6
19: f5g6
20: a5h5
21: g6f7
22: e8e7
23: f7f8q
24: a8f8
25: d2g5
26: e7e6
27: h2h4
28: h7h6
29: g5h6
30: h8h6
31: g2g3
32: f8f3
33: e1d2
34: f3g3
35: a1b1
36: e6e5
37: b1b5
38: c6b5
39: d3d4
40: e5e4
41: h1e1
42: g3e3
43: e1e3
44: g4e3
45: c3c4
46: e3c4
47: d2c1
48: h5h4
49: c2c3
50: h4h1
51: c1c2
52: h6h2
53: c2b3
54: h2b2
