Result: Draw by insufficient material

1: b1c3
2: e7e5
3: f1b5
4: c8d7
5: e1f1
6: e5d4
7: b5d7
8: d8d7
9: d1d4
10: b8c6
11: d4d3
12: h7h6
13: c3d5
14: f6d5
15: e4d5
16: c6e5
17: d3d1
18: f8e7
19: c1h6
20: g7h6
21: f1e1
22: e5c4
23: b2b3
24: e7f6
25: b3c4
26: a8c8
27: d1e2
28: e8d8
29: a1b1
30: h8e8
31: e2e8
32: d8e8
33: b1b7
34: d7b7
35: e1d2
36: c8c4
37: h1e1
38: e8d7
39: e1e7
40: d7e7
41: d2c1
42: c4c2
43: c1c2
44: b7d5
45: f2f3
46: d5a2
47: c2d3
48: a2g2
49: f3f4
50: g2h2
51: f4f5
52: h2h3
53: d3e4
54: h3f5
55: e4f5
56: f6g7
57: f5e4
58: g7f8
59: e4f5
60: a7a5
61: f5e4
62: e7e6
63: e4d4
64: f8g7
65: d4e3
66: e6e5
67: e3d3
68: f7f6
69: d3c4
70: d6d5
71: c4c5
72: g7h8
73: c5b5
74: d5d4
75: b5a5
76: f6f5
77: a5b4
78: f5f4
79: b4c4
80: f4f3
81: c4d3
82: h6h5
83: d3c2
84: d4d3
85: c2d3
86: f3f2
87: d3e2
88: f2f1q
89: e2f1
90: e5e4
91: f1e1
92: h8c3
93: e1f2
94: c3d4
95: f2g3
96: d4e5
97: g3h4
98: e5g3
99: h4h5
