Result: Draw by insufficient material

1: e4c5
2: e7e5
3: c5b7
4: d8d4
5: g1f3
6: d4d7
7: b7a5
8: e5e4
9: f3e5
10: d7c7
11: a5c4
12: f7f6
13: e5g4
14: c7d7
15: g4e3
16: d7d1
17: e3d1
18: h7h6
19: c1f4
20: g8e7
21: c4d6
22: e8d7
23: d1c3
24: e4e3
25: e1c1
26: e3f2
27: d6f7
28: e7d5
29: f7h8
30: d7e6
31: f1c4
32: f5c2
33: d1d2
34: f2f1q
35: h1f1
36: c2d3
37: d2d3
38: f8e7
39: c4d5
40: c6d5
41: f1e1
42: e6f5
43: d3d5
44: f5g4
45: f4b8
46: g7g5
47: e1e7
48: a8b8
49: d5g5
50: h6g5
51: h2h3
52: g4g3
53: c3d5
54: b8h8
55: e7a7
56: h8f8
57: a7h7
58: g3g2
59: h7h6
60: f6f5
61: d5e7
62: g2g3
63: e7g6
64: f8f6
65: g6e7
66: f6f7
67: e7d5
68: f5f4
69: a2a3
70: g5g4
71: h3g4
72: g3g4
73: h6f6
74: f7f6
75: d5f6
76: g4f5
77: f6h5
78: f4f3
79: h5g3
80: f5g4
81: g3h1
82: g4h3
83: h1f2
84: h3g2
85: f2d3
86: f3f2
87: d3f2
88: g2f2
89: c1d2
90: f2f3
91: d2d3
92: f3f4
93: d3d4
94: f4f5
95: b2b4
96: f5e6
97: a3a4
98: e6d6
99: d4e4
100: d6c6
101: b4b5
102: c6c7
103: b5b6
104: c7b6
105: a4a5
106: b6a5
