Result: Black wins by checkmate

1: h2h3
2: f6d5
3: e2e4
4: d5c3
5: b2c3
6: b7b5
7: a2a4
8: b8d7
9: c1f4
10: h7h6
11: d1b1
12: g7g5
13: a4b5
14: c6b5
15: f4e5
16: d7e5
17: f3e5
18: a7a6
19: b1d1
20: f8g7
21: e5c4
22: c8b7
23: d1f3
24: d8c7
25: c4d2
26: a8c8
27: a1a3
28: b5b4
29: c3b4
30: c7c1
31: e1e2
32: g7d4
33: a3d3
34: d4c3
35: h3h4
36: g5h4
37: f3e3
38: c1b2
39: h1h3
40: c3f6
41: d3b3
42: b2e5
43: f2f4
44: e5h5
45: e3f3
46: h5f3
47: h3f3
48: e7e6
49: b4b5
50: a6a5
51: b3a3
52: c8a8
53: e2e3
54: a5a4
55: b5b6
56: b7c6
57: b6b7
58: a8b8
59: f1a6
60: h8g8
61: e3f2
62: f6d4
63: f2f1
64: e8e7
65: f3d3
66: e6e5
67: f4e5
68: d4e5
69: d2c4
70: e5g3
71: e4e5
72: g8g6
73: d3d6
74: g6d6
75: e5d6
76: e7e6
77: a3e3
78: e6d5
79: e3e7
80: a4a3
81: e7f7
82: a3a2
83: f7f5
84: d5d4
85: f5a5
86: c6b7
87: c4d2
88: b7d5
89: d6d7
90: b8b1
91: d2b1
92: a2b1q
93: f1e2
94: b1c2
95: e2f1
96: c2g2
