Result: White wins by checkmate

1: e2e4
2: d5c3
3: b2c3
4: b8d7
5: g1f3
6: h7h6
7: e4e5
8: d7b6
9: a2a4
10: c8e6
11: h2h3
12: a7a5
13: f1d3
14: f8g7
15: d1c2
16: e6d5
17: e1f1
18: e8g8
19: h1g1
20: d5f3
21: g2f3
22: d8c8
23: g1g3
24: c8e6
25: d3e4
26: b6d5
27: a1b1
28: a8a7
29: c1d2
30: f8d8
31: f3f4
32: e6d7
33: e4g6
34: f7g6
35: c2g6
36: e7e6
37: f4f5
38: d5c3
39: d2c3
40: e6f5
41: e5e6
42: f5f4
43: g3g4
44: d7e7
45: d4d5
46: d8d5
47: g6h6
48: g8f8
49: c3g7
50: e7g7
51: h6g7
52: f8e8
53: g7f7
54: e8d8
55: f7f8
