Result: Draw by insufficient material

1: d2d3
2: e4f6
3: b1c3
4: b8c6
5: d3d4
6: d6d5
7: c1g5
8: f8b4
9: d1e2
10: e8f8
11: e2e3
12: c8e6
13: a2a3
14: b4d6
15: e1c1
16: h7h6
17: g5h4
18: d6e7
19: h2h3
20: f8g8
21: f1d3
22: a7a6
23: c1b1
24: d8f8
25: f3e5
26: c6e5
27: d4e5
28: e7c5
29: e3g3
30: f6e8
31: g3f3
32: c7c6
33: c3a4
34: g7g5
35: a4c5
36: f8c5
37: b2b4
38: c5c3
39: h4g3
40: d5d4
41: d3e4
42: c3f3
43: g2f3
44: e8c7
45: a3a4
46: a8d8
47: c2c3
48: e6b3
49: e4c2
50: b3c2
51: b1c2
52: c7e6
53: c3d4
54: e6d4
55: c2c3
56: d4e2
57: c3c4
58: g8g7
59: h1e1
60: b7b5
61: a4b5
62: d8d1
63: e1d1
64: c6b5
65: c4c5
66: e2g3
67: f2g3
68: h8c8
69: c5b6
70: c8c3
71: b6a6
72: c3f3
73: d1g1
74: g7g6
75: a6b5
76: f3c3
77: g3g4
78: c3h3
79: b5c4
80: h6h5
81: g4h5
82: h3h5
83: g1d1
84: h5h4
85: c4d5
86: h4b4
87: e5e6
88: f7e6
89: d5e6
90: b4b2
91: d1e1
92: g5g4
93: e6e5
94: g4g3
95: e5f4
96: g3g2
97: e1e6
98: g6h5
99: e6e1
100: b2b8
101: e1g1
102: b8f8
103: f4g3
104: f8g8
105: g3h3
106: g8g4
107: g1g2
108: g4g2
109: h3g2
