Result: Draw by threefold repetition

1: d2d3
2: c6d4
3: c1d2
4: c7c6
5: b5a4
6: d8a5
7: a4b3
8: d4f3
9: d1f3
10: d7d5
11: e4d5
12: c6d5
13: f3g3
14: e8g8
15: e1c1
16: d5d4
17: c3e4
18: f6e4
19: d3e4
20: b4d2
21: d1d2
22: c8e6
23: b3e6
24: f7e6
25: g3b3
26: a8e8
27: c2c3
28: e8e7
29: b3c4
30: b7b5
31: c4c5
32: e7f7
33: f2f3
34: d4c3
35: c5c3
36: b5b4
37: c3b3
38: a5b6
39: a2a3
40: f8c8
41: c1b1
42: a7a5
43: h1c1
44: f7c7
45: d2d1
46: c7c1
47: d1c1
48: c8c1
49: b1c1
50: b6g1
51: c1d2
52: g1g2
53: d2e3
54: g2g1
55: e3d3
56: b4a3
57: b3e6
58: g8f8
59: e6f5
60: f8g8
61: f5e5
62: g1f1
63: d3e3
64: f1c1
65: e3d3
66: c1f1
67: d3e3
68: f1c1
69: e3d3
