Result: Draw by threefold repetition

1: g1f3
2: e8g8
3: c3a4
4: b8d7
5: e1g1
6: d7b6
7: a4c5
8: b6c4
9: d3c4
10: d6c5
11: f3e5
12: d8d6
13: e5f3
14: f6e4
15: d1d6
16: e4d6
17: f1e1
18: c8f5
19: e1e7
20: a8c8
21: c1f4
22: f8e8
23: f4d6
24: c7d6
25: e7b7
26: c8b8
27: b7b8
28: e8b8
29: b2b3
30: f5c2
31: a1c1
32: c2e4
33: f3g5
34: e4f5
35: c1d1
36: f7f6
37: g5f3
38: b8b6
39: f3d2
40: b6a6
41: d1a1
42: h7h5
43: h2h3
44: g8f7
45: a2a4
46: a6c6
47: a1d1
48: f5c2
49: d1c1
50: c2h7
51: c1d1
52: h7c2
53: d1c1
54: c2h7
55: c1d1
