Result: Draw by threefold repetition

1: h2h3
2: f6d5
3: e2e4
4: d5c3
5: b2c3
6: b7b5
7: a2a4
8: b8d7
9: c1f4
10: h7h6
11: a1b1
12: g7g5
13: f4e5
14: d7e5
15: f3e5
16: c8d7
17: d1f3
18: h8h7
19: e5d7
20: d8d7
21: e4e5
22: a8d8
23: e1d2
24: f8g7
25: f3e4
26: h7h8
27: f1e2
28: e7e6
29: e2f3
30: h6h5
31: e4c6
32: g7e5
33: c6d7
34: d8d7
35: f3c6
36: e5f4
37: d2e2
38: e6e5
39: g2g3
40: e5d4
41: g3f4
42: d4d3
43: e2e3
44: g5f4
45: e3f4
46: b5a4
47: b1b7
48: e8e7
49: b7d7
50: e7e6
51: d7a7
52: d3d2
53: h1d1
54: h8c8
55: c6d7
56: e6f6
57: d7c8
58: a4a3
59: a7a3
60: f6e7
61: d1d2
62: h5h4
63: a3a7
64: e7f6
65: a7f7
66: f6f7
67: d2d7
68: f7e8
69: d7d4
70: e8e7
71: d4c4
72: e7d6
73: f4e3
74: d6d5
75: c8a6
76: d5d6
77: c4h4
78: d6c5
79: a6e2
80: c5b6
81: h4h6
82: b6c5
83: h6h5
84: c5c6
85: e2f3
86: c6b6
87: e3e4
88: b6a6
89: f3e2
90: a6b6
91: h5b5
92: b6c6
93: c3c4
94: c6c7
95: b5c5
96: c7d6
97: c5d5
98: d6c6
99: d5g5
100: c6d7
101: g5d5
102: d7c6
103: d5g5
104: c6d7
105: g5d5
