Result: Draw by threefold repetition

1: g1f3
2: h7h6
3: h2h3
4: b8d7
5: e4e5
6: d6e5
7: d4e5
8: f6h5
9: g2g4
10: d7e5
11: f3e5
12: g7e5
13: g4h5
14: d8d1
15: c3d1
16: c8f5
17: f2f4
18: e5f6
19: h5g6
20: f7g6
21: d1e3
22: f5e4
23: f1g2
24: e4g2
25: e3g2
26: e8f7
27: a1b1
28: h8d8
29: g2e3
30: d8d4
31: f4f5
32: a8d8
33: f5g6
34: f7g6
35: h1g1
36: f6g5
37: g1f1
38: e7e6
39: e1e2
40: h6h5
41: e2f3
42: e6e5
43: b2b4
44: d4f4
45: f3g2
46: f4f1
47: g2f1
48: g5f6
49: f1e2
50: d8f8
51: e3d5
52: b7b6
53: c1b2
54: g6f5
55: b1f1
56: f5e6
57: e2d3
58: f6g7
59: d5c7
60: e6d7
61: f1f8
62: g7f8
63: b2e5
64: f8b4
65: c7b5
66: a7a6
67: b5d4
68: b4c5
69: d4f5
70: d7e6
71: d3e4
72: e6f7
73: e5d4
74: c5d4
75: f5d4
76: f7f6
77: e4d5
78: f6g5
79: d5c6
80: b6b5
81: c4b5
82: a6b5
83: d4b5
84: g5h4
85: a2a4
86: h4h3
87: a4a5
88: h3g4
89: a5a6
90: g4f5
91: a6a7
92: f5g6
93: a7a8q
94: g6h6
95: a8f8
96: h6h7
97: f8e7
98: h7h8
99: e7d8
100: h8g7
101: d8d4
102: g7g8
103: d4d8
104: g8f7
105: d8c7
106: f7f8
107: c7f4
108: f8g8
109: f4b8
110: g8h7
111: b8c7
112: h7g8
113: c7b8
114: g8h7
115: b8c7
116: h7g8
