Result: Draw by threefold repetition

1: e2e4
2: d5c3
3: b2c3
4: b8d7
5: g1f3
6: h7h6
7: e4e5
8: d7b6
9: a2a4
10: c8e6
11: h2h3
12: a7a5
13: f1d3
14: f8g7
15: d1c2
16: e6d5
17: c1f4
18: d5f3
19: g2f3
20: b6d5
21: f4g3
22: c7c5
23: d3c4
24: e7e6
25: c2b3
26: c5d4
27: c3d4
28: d5b6
29: c4b5
30: e8f8
31: b3b2
32: d8d5
33: e1e2
34: a8d8
35: e2e3
36: h6h5
37: g3h4
38: g7h6
39: f3f4
40: d8c8
41: h1c1
42: c8c1
43: b2c1
44: d5b3
45: e3e4
46: b6d5
47: a1a3
48: b3b4
49: h4g5
50: f8g7
51: g5h6
52: h8h6
53: b5c4
54: d5b6
55: a3b3
56: b4c4
57: c1c4
58: b6c4
59: e4d3
60: h6h8
61: d3c4
62: h8c8
63: c4d3
64: c8b8
65: b3c3
66: h5h4
67: d3e3
68: g7f8
69: e3e4
70: f8g7
71: e4e3
72: g7f8
73: e3e4
74: f8g7
