Result: Draw by threefold repetition

1: d2d3
2: e7e6
3: b1d2
4: b8d7
5: f3h4
6: f5g6
7: h4g6
8: h7g6
9: h2h3
10: f8d6
11: e2e4
12: d8a5
13: d1c2
14: a5b6
15: d2f3
16: d5c4
17: d3c4
18: d6b4
19: e1e2
20: e8c8
21: f3g5
22: d8f8
23: a2a3
24: b4c5
25: e2f3
26: c8b8
27: b3b4
28: c5e7
29: c4c5
30: b6c7
31: f1c4
32: f6h5
33: h3h4
34: c7f4
35: f3e2
36: e7g5
37: h4g5
38: f4g4
39: e2e3
40: g4g5
41: e3f3
42: h5f6
43: g2g3
44: f8d8
45: h1h8
46: d8h8
47: a1c1
48: d7e5
49: b2e5
50: g5e5
51: c4b3
52: e5h5
53: f3e3
54: h5h6
55: e3f3
56: h6h5
57: f3e3
58: h5h6
59: e3f3
