Result: Draw by insufficient material

1: e1g1
2: d7d6
3: c3d5
4: a7a5
5: d2d4
6: f6e4
7: a2a3
8: c8e6
9: a3b4
10: e6d5
11: b4a5
12: e5d4
13: c2c4
14: d5c4
15: b5c4
16: e8g8
17: c4d5
18: e4c3
19: b2c3
20: d4c3
21: d1e1
22: a8a5
23: a1a5
24: c6a5
25: c1e3
26: c7c6
27: d5a2
28: f8e8
29: e1c1
30: d6d5
31: f1d1
32: c3c2
33: d1d3
34: b7b5
35: d3d2
36: a5c4
37: a2c4
38: b5c4
39: d2c2
40: h7h6
41: f3d2
42: e8e6
43: c2a2
44: d8e8
45: c1c2
46: e6e5
47: h2h3
48: f7f5
49: a2a4
50: e5e3
51: f2e3
52: e8e3
53: g1f1
54: e3d3
55: c2d3
56: c4d3
57: a4a3
58: c6c5
59: a3a5
60: c5c4
61: a5d5
62: c4c3
63: d2b3
64: d3d2
65: f1e2
66: g8f7
67: d5c5
68: d2d1q
69: e2d1
70: c3c2
71: d1c1
72: f7e6
73: c5a5
74: e6f6
75: a5a3
76: f6g6
77: b3d4
78: f5f4
79: d4e2
80: f4f3
81: g2f3
82: g6h5
83: c1c2
84: h5h4
85: a3a4
86: h4h3
87: e2f4
88: h3g3
89: f4h5
90: g3f3
91: h5g7
92: f3f2
93: a4f4
94: f2e3
95: f4f3
96: e3f3
97: c2c3
98: h6h5
99: g7h5
