Result: White wins by checkmate

1: e1g1
2: d7d6
3: c3d5
4: a7a5
5: d2d4
6: f6e4
7: a2a3
8: c8e6
9: a3b4
10: e6d5
11: b4a5
12: e5d4
13: c2c4
14: d5c4
15: b5c4
16: e8g8
17: c4d5
18: e4c3
19: b2c3
20: d4c3
21: d1e1
22: a8a5
23: a1a5
24: c6a5
25: c1e3
26: c7c6
27: d5a2
28: f8e8
29: e1c1
30: d6d5
31: f1d1
32: c3c2
33: d1d3
34: b7b5
35: d3d2
36: a5c4
37: a2c4
38: b5c4
39: d2c2
40: h7h6
41: f3d2
42: e8e6
43: c2a2
44: d8e8
45: c1c2
46: e6e5
47: h2h3
48: g7g6
49: c2c3
50: g6g5
51: e3d4
52: e5e1
53: g1h2
54: e8e7
55: a2a8
56: g8h7
57: f2f4
58: g5f4
59: d2c4
60: d5c4
61: a8a7
62: e7d6
63: c3e1
64: d6d4
65: a7f7
66: d4g7
67: f7g7
68: h7g7
69: e1b4
70: g7f6
71: g2g3
72: f4g3
73: h2g2
74: f6e6
75: b4c4
76: e6d6
77: c4f1
78: d6c5
79: f1f8
80: c5b6
81: f8h8
82: b6b7
83: h8h6
84: b7b6
85: h6f4
86: b6a7
87: f4d2
88: a7b7
89: d2e1
90: b7c7
91: h3h4
92: c7d7
93: e1b1
94: d7c7
95: b1a1
96: c7b7
97: a1e1
98: b7c7
99: h4h5
100: c7d7
101: h5h6
102: d7d8
103: h6h7
104: d8d7
105: h7h8q
106: c6c5
107: e1g3
108: d7c6
109: g3f3
110: c6d7
111: h8h3
112: d7d6
113: h3h2
114: d6e7
115: h2c7
116: e7e6
117: f3f7
