Result: Draw by insufficient material

1: g1f3
2: b8c6
3: c3c4
4: d5f5
5: d4d5
6: c6b4
7: b1a3
8: e7e6
9: d5d6
10: e8d7
11: f3g5
12: f6e4
13: g5e4
14: f5e4
15: d1e2
16: b4d3
17: e1d2
18: e4e2
19: f1e2
20: d3f2
21: h1f1
22: f2e4
23: d2d3
24: f7f5
25: g2g4
26: e4f6
27: g4f5
28: f8d6
29: c1e3
30: d6h2
31: a3b5
32: h2e5
33: a1b1
34: d7c6
35: e2f3
36: c6b6
37: f1g1
38: h8g8
39: f5e6
40: g8d8
41: d3c2
42: c8e6
43: g1g7
44: f6d7
45: g7h7
46: e6f5
47: c2c1
48: f5h7
49: e3c5
50: b6c5
51: f3b7
52: h7b1
53: b7a8
54: e5b2
55: c1b1
56: c5c4
57: b5d6
58: c4c3
59: d6b5
60: c3b4
61: a8c6
62: b2e5
63: c6d7
64: d8d7
65: b5a7
66: d7a7
67: a2a3
68: a7a3
69: b1c2
70: a3a2
71: c2d3
72: a2a3
73: d3e4
74: a3e3
75: e4e3
