Result: Black wins by checkmate

1: g1f3
2: h7h6
3: e4e5
4: d6e5
5: f3e5
6: b8d7
7: e5d7
8: c8d7
9: d1b3
10: c7c5
11: d4d5
12: d8c7
13: f1e2
14: a7a6
15: c1e3
16: f6g4
17: e2g4
18: d7g4
19: h2h3
20: g4d7
21: e3c5
22: c7c5
23: b3b7
24: a8c8
25: b7a6
26: c5b4
27: a6c8
28: d7c8
29: e1c1
30: b4c5
31: d1f1
32: c8a6
33: b2b3
34: a6c4
35: b3c4
36: c5b4
37: c3d1
38: g7d4
39: a2a3
40: b4c4
41: c1d2
42: c4d5
43: f2f3
44: d5d6
45: a3a4
46: d4g7
47: d2e3
48: d6b4
49: g2g4
50: h6h5
51: g4h5
52: g7d4
53: e3d3
54: h8g8
55: h5g6
56: e7e5
57: g6f7
58: e8f7
59: f3f4
60: f7e6
61: f4e5
62: g8g3
63: f1f3
64: g3f3
65: d3e4
66: b4b7
67: e4d4
68: b7d5
