Result: Draw by threefold repetition

1: a4c6
2: d7c6
3: d2d3
4: f8d6
5: f3e5
6: d6e5
7: f2f4
8: c8g4
9: f4e5
10: g4d1
11: e5f6
12: d1c2
13: f6g7
14: h8g8
15: c1g5
16: d8g5
17: g2g3
18: g5d8
19: e1d2
20: c2d3
21: d2e3
22: d3e4
23: e3e4
24: d8b8
25: h1f1
26: g8g7
27: f1f7
28: g7f7
29: e4d4
30: f7f2
31: b2b4
32: f2h2
33: a2a4
34: h2g2
35: a1a3
36: g2g3
37: a3g3
38: c6c5
39: d4c5
40: e8f8
41: g3g8
42: f8g8
43: b1c3
44: b8f8
45: c5c4
46: f8c8
47: c4d5
48: c8d7
49: d5c5
50: d7c6
51: c5d4
52: c6c3
53: d4c3
54: g8f7
55: c3d4
56: a6a5
57: b4a5
58: h7h5
59: d4c5
60: h5h4
61: c5b5
62: h4h3
63: a5a6
64: b7a6
65: b5c6
66: h3h2
67: c6c7
68: a8g8
69: c7d7
70: h2h1q
71: a4a5
72: h1d5
73: d7c7
74: d5a5
75: c7b7
76: a5d5
77: b7a6
78: d5c6
79: a6a5
80: c6c7
81: a5a6
82: c7c6
83: a6a5
84: c6c7
85: a5a6
